"UniproEntry","Hydropathy","FCR","IDR","LCR","Pscore","PLAAC","catGRANULE","PhosFreq","Score"
"A0A060CYZ5",0.427880486,0.329411765,0.337815126,0.336134454,1.35,-0.388,1.09941,0.00672268907563025,0
"A0A060CZR1",0.483077226,0.193262411,0,0.166666667,1.24,-0.089,0.778875,0.00177304964539007,0
"A0A060D417",0.464533965,0.206161137,0,0.407582938,3.17,-0.038,0.556174,0.004739336492891,0
"A0A060D485",0.461561562,0.195195195,0,0.264264264,1.9,-0.121,-0.100022,0.00900900900900901,0
"A0A060D557",0.438533114,0.325123153,0.320197044,0.467980296,-1.48,-0.341,0.172568,0.0147783251231527,0
"A0A060D587",0.446059659,0.243845252,0.069167644,0.026963658,1.23,-0.205,0.696724,0.0152403282532239,0
"A0A060D6C7",0.427743271,0.198757764,0.220496894,0.366459627,0.98,-0.112,-0.071484,0.0031055900621118,0
"A0A060D6J4",0.41032622,0.293598234,0.141280353,0.17218543,2.79,-0.225,0.737791,0.0154525386313466,0
"A0A060D6Q3",0.420698132,0.170353982,0.234513274,0.316371681,2.56,0.289,0.510124,0.00221238938053097,0
"A0A060D780",0.461123007,0.233404711,0,0.199143469,1.22,-0.255,0.542043,0.00428265524625268,0
"A0A060D7N5",0.412610229,0.234126984,0.19047619,0.523809524,0.74,0.003,0.0172339,0.0158730158730159,0
"A0A060D7W7",0.429715762,0.338870432,0.252491694,0.222591362,1.69,-0.522,-0.318803,0.0132890365448505,0
"A0A077RQ55",0.425632282,0.278772379,0.442455243,0.260869565,3.09,-0.01,0.605882,0.020460358056266,0
"A0A077RQG5",0.402747027,0.254612546,0.095940959,0.300738007,1.55,0.166,1.49053,0.00553505535055351,0
"A0A077RQY6",0.406649339,0.28460039,0.413255361,0.142300195,0.93,-0.243,0.791715,0.00779727095516569,0
"A0A077RR65",0.3991939,0.288235294,0.378431373,0.233333333,2.31,-0.128,0.431567,0.0196078431372549,0
"A0A077RRA9",0.498300654,0.205882353,0.464705882,0.335294118,1.32,-0.228,-0.0216445,0.0176470588235294,0
"A0A077RRE2",0.428312413,0.171548117,0.061366806,0.121338912,3.46,0.471,0.880482,0.00139470013947001,0
"A0A077RS97",0.385266667,0.37,0.46,0.164,1.26,-0.234,1.1412,0.002,0
"A0A077RSE9",0.461136024,0.262331839,0,0.293721973,1.94,-0.385,0.288337,0.00448430493273543,0
"A0A077RSI9",0.473533084,0.162921348,0,0.117977528,-0.68,-0.174,-0.0342718,0.00561797752808989,0
"A0A077RT18",0.542798354,0.195767196,0,0.412698413,0.36,-0.331,-0.497921,0.0105820105820106,0
"A0A077RU36",0.474832664,0.240963855,0.112449799,0.124497992,0.73,-0.251,0.496026,0.0281124497991968,0
"A0A077RU79",0.388139825,0.329588015,0.65917603,0.04494382,4.56,-0.146,0.519844,0.00749063670411985,0
"A0A077RUE1",0.441037037,0.32,0.108148148,0.045925926,0.09,-0.371,0.330777,0.0118518518518519,0
"A0A077RWA0",0.544520288,0.136518771,0,0.116040956,1.02,-0.111,-0.0859572,0.0068259385665529,0
"A0A077RWN0",0.392764004,0.357024793,0.299173554,0.104132231,2.78,-0.441,1.08028,0.00330578512396694,0
"A0A077RWS0",0.424304514,0.245877061,0.113943028,0.128935532,0.71,0.312,0.701069,0.00749625187406297,0
"A0A077RWU3",0.460895171,0.255594817,0.089517079,0.065959953,3.19,0.003,0.668741,0.00588928150765607,0
"A0A077RX98",0.370220941,0.26945245,0.726224784,0.207492795,4.08,0.267,2.07204,0.00720461095100865,0
"A0A077RXP2",0.434742952,0.320895522,0.820895522,0.23880597,NA,-0.518,-0.395351,0.0149253731343284,0
"A0A077RXV5",0.448888889,0.2125,0,0.05,0.16,-0.126,0.00924587,0.00416666666666667,0
"A0A077RXY5",0.453039832,0.221174004,0.306079665,0.307127883,3.81,0.004,0.605719,0.00628930817610063,0
"A0A077RZ55",0.468229167,0.247767857,0,0.035714286,1.14,-0.281,0.766297,0.00669642857142857,0
"A0A077RZY9",0.483313492,0.219642857,0.023214286,0.035714286,1.25,-0.249,0.0982415,0.00178571428571429,0
"A0A077S148",0.458228906,0.270676692,0.085213033,0.030075188,0.92,-0.357,0.950757,0.0025062656641604,0
"A0A077S185",0.297183099,0.600938967,1,0.727699531,2.44,-0.725,2.06234,0.0140845070422535,0
"A0A077S1V0",0.421202186,0.232786885,0.091803279,0,-0.23,-0.226,0.180638,0.0262295081967213,0
"A0A077S2Z7",0.359346748,0.341207349,1,0.427821522,9.91,0.102,3.37701,0.015748031496063,0
"A0A077S308",0.43561527,0.282149712,0,0.09596929,2.87,-0.096,0.667271,0.00383877159309021,0
"A0A077S350",0.431756121,0.305084746,0.11440678,0.103813559,0.3,-0.236,0.721113,0.0105932203389831,0
"A0A077S4N3",0.459165257,0.269035533,0.355329949,0.446700508,1.61,-0.176,0.562577,0.0050761421319797,0
"A0A080YU72",0.415053763,0.319892473,0.185483871,0.188172043,1.2,-0.298,0.529922,0.00268817204301075,0
"A0A096PXB1",0.423809524,0.204301075,0.044546851,0.02764977,1.09,0.042,0.971928,0.0153609831029186,0
"A0A096PY84",0.456010812,0.272727273,0.04865557,0.138284251,0.73,-0.09,0.0872804,0.00512163892445583,0
"A0A096Q3U9",0.405207297,0.244776119,0.202985075,0.337313433,1.52,-0.107,-0.484526,0.00597014925373134,0
"A0A096Q578",0.561498708,0.120155039,0.166666667,0.236434109,1.74,-0.036,-0.419413,0.0155038759689922,0
"A0A096QB26",0.457571858,0.247104247,0,0.084942085,-0.37,-0.404,-0.216135,0.0154440154440154,0
"A0A096QKY4",0.453106725,0.253289474,0.006578947,0.091008772,0.61,-0.219,0.637377,0.0087719298245614,0
"A0A096QLF3",0.472213343,0.218433671,0.046883324,0.10442195,2.41,0.025,1.04395,0.00426212040490144,0
"A0A096QLV7",0.483283283,0.194594595,0,0.135135135,1.43,-0.281,0.128952,0.0018018018018018,0
"A0A096QNN6",0.49237841,0.209964413,0,0.027580071,0.44,-0.335,0.240687,0.00177935943060498,0
"A0A096R4D2",0.421714286,0.243571429,0.031428571,0.1,3.4,0.294,1.08436,0.01,0
"A0A096R9U6",0.354950045,0.340599455,0.752043597,0.40599455,0.31,-0.264,0.923673,0.0326975476839237,0
"A0A096RII5",0.285260771,0.479591837,1,0.525510204,0.95,-0.319,1.30241,0.0204081632653061,0
"A0A096S0J0",0.484196332,0.203883495,0,0.019417476,0.22,-0.267,0.543236,0.00323624595469256,0
"A0A096S320",0.433721834,0.311188811,0.51048951,0.325174825,2.08,-0.138,0.503067,0.020979020979021,0
"A0A096S959",0.442512077,0.287625418,0.093645485,0.190635452,0.09,-0.328,0.383932,0.020066889632107,0
"A0A096S9T0",0.431357236,0.243876464,0,0.090521832,1.87,-0.015,0.483889,0.00425985090521832,0
"A0A096SC75",0.413805897,0.293497364,0.237258348,0.226713533,2.94,-0.204,1.08404,0.0123022847100176,0
"A0A096SGQ3",0.468461538,0.232051282,0.012820513,0.091025641,1.25,-0.27,0.63772,0.00128205128205128,0
"A0A096SS31",0.533262336,0.217252396,0.047923323,0,-1.83,-0.454,-0.495977,0.00638977635782748,0
"A0A096ST13",0.371769547,0.387037037,0.872222222,0.27037037,0.61,-0.328,2.09256,0.00185185185185185,0
"A0A096T0J9",0.4509528,0.277044855,0,0.044854881,0.63,-0.319,0.466051,0.00527704485488127,0
"A0A096T997",0.402591674,0.26426799,0.232009926,0.1191067,3.55,-0.044,1.43053,0.00372208436724566,0
"A0A096TQV7",0.425603865,0.27173913,0.510869565,0.384057971,2.34,-0.157,1.48716,0.0181159420289855,0
"A0A096UDI7",0.422388889,0.205,0.1875,0.23,2.4,0.246,0.218912,0.0025,0
"A0A096UDL3",0.501211874,0.174019608,0.046568627,0.144607843,2.33,-0.143,0.909885,0.00735294117647059,0
"A0A096ULG3",0.468888889,0.348148148,0.162962963,0.177777778,NA,-0.567,-0.0823471,0.0222222222222222,0
"A0A096UND4",0.437524029,0.276816609,0.064013841,0.141868512,0.95,-0.2,0.597976,0.0155709342560554,0
"A0A0A0US36",0.569281046,0.123119015,0.030095759,0.062927497,1.54,-0.2,0.322887,0.00136798905608755,0
"A0A0D3MT32",0.414544588,0.253218884,0,0.042918455,1.2,-0.309,0.0594938,0.00858369098712446,0
"A0A0K0YGT2",0.437647272,0.254486134,0,0.073409462,1.42,0.005,0.335269,0.00489396411092985,0
"A0A0N7ILR9",0.474093765,0.236346061,0.004349928,0.057515708,1.15,-0.073,0.658189,0.00193330111164814,0
"A0A0N7KC65",0.455715045,0.255980861,0,0.066985646,1,-0.203,0.0624015,0.00717703349282297,0
"A0A0N7KCJ7",0.364792503,0.325301205,1,0.234939759,2.32,-0.157,0.307319,0.0240963855421687,0
"A0A0N7KD71",0.421891165,0.156424581,0.173184358,0.472998138,4.45,0.206,1.12311,0.00558659217877095,0
"A0A0N7KD84",0.50566642,0.179600887,0.002217295,0.141906874,1.98,-0.254,-0.268375,0.00443458980044346,0
"A0A0N7KD93",0.519382716,0.155555556,0.977777778,0,NA,-0.386,-2.1539,0.0111111111111111,0
"A0A0N7KDD6",0.407371395,0.303664921,0.029917726,0.187733732,3.37,-0.26,1.25234,0.00074794315632012,0
"A0A0N7KDS3",0.410075667,0.35125448,1,0.193548387,1.26,-0.428,-0.107732,0.032258064516129,0
"A0A0N7KE95",0.497630719,0.198529412,0,0.171568627,-0.27,-0.288,-0.284106,0.00245098039215686,0
"A0A0N7KEH1",0.478052126,0.220164609,0,0.117283951,0.74,-0.21,0.293728,0.00411522633744856,0
"A0A0N7KEI0",0.413938544,0.313354364,0.104100946,0.144058885,2.65,-0.127,1.25767,0.00210304942166141,0
"A0A0N7KEK0",0.368991805,0.289879931,0.48542024,0.181818182,3.7,0.06,1.86822,0.0257289879931389,0
"A0A0N7KEN0",0.500980392,0.185294118,0,0.105882353,0.67,-0.091,-0.0217262,0.00294117647058824,0
"A0A0N7KEV5",0.505800654,0.191176471,0,0.040441176,-0.07,-0.338,0.0220202,0.00367647058823529,0
"A0A0N7KEY9",0.430285152,0.212389381,0.309734513,0.252212389,2.16,-0.205,0.0220039,0.00442477876106195,0
"A0A0N7KF47",0.414350901,0.314168378,0.012320329,0.012320329,2.17,-0.281,0.806384,0.00410677618069815,0
"A0A0N7KF71",0.497682709,0.235294118,0,0.058823529,0.32,-0.38,0.756414,0.0053475935828877,0
"A0A0N7KFI2",0.475159345,0.234108527,0,0.181395349,4.2,-0.047,1.74693,0.00155038759689922,0
"A0A0N7KFQ9",0.392108586,0.335227273,0.693181818,0.238636364,2.92,-0.084,1.66971,0.0255681818181818,0
"A0A0N7KFW1",0.483333333,0.214285714,0,0,-0.48,-0.196,-0.65288,0.00793650793650794,0
"A0A0N7KFY1",0.448254644,0.172523962,0,0.061767838,5.29,0.199,1.46287,0.00425985090521832,0
"A0A0N7KG12",0.510003357,0.202416918,0,0.151057402,0.88,-0.332,0.256973,0.0241691842900302,0
"A0A0N7KG49",0.464584641,0.231638418,0.060263653,0.011299435,0.94,-0.07,0.276821,0.00941619585687382,0
"A0A0N7KGC5",0.484081633,0.232653061,0.016326531,0,-0.9,-0.356,0.423448,0.00408163265306122,0
"A0A0N7KGC8",0.453703704,0.2125,0,0.079166667,0.7,-0.261,0.356636,0.00416666666666667,0
"A0A0N7KGG8",0.488733489,0.195804196,0.027972028,0.258741259,0.67,-0.332,-0.247907,0.00699300699300699,0
"A0A0N7KGT9",0.516885965,0.151315789,0.019736842,0.138157895,1.05,-0.27,-0.191844,0.0197368421052632,0
"A0A0N7KH39",0.422409823,0.267075979,0.012279355,0.072141213,1.68,-0.218,1.05965,0.00153491941673062,0
"A0A0N7KH49",0.492,0.16,1,0.226666667,NA,-0.277,-0.828273,0.0133333333333333,0
"A0A0N7KH51",0.39646979,0.295315682,0.270875764,0.185336049,1.48,-0.256,1.29687,0.00407331975560081,0
"A0A0N7KH79",0.396773168,0.284692418,0.052932761,0.084406295,1.53,-0.155,0.909216,0.00286123032904149,0
"A0A0N7KHA6",0.513071895,0.151260504,0,0,NA,-0.309,-0.769335,0.00840336134453781,0
"A0A0N7KHG4",0.496068376,0.130769231,0.415384615,0.384615385,NA,-0.183,-1.17628,0.0846153846153846,0
"A0A0N7KHX3",0.402349206,0.348571429,0.131428571,0.161428571,0.54,-0.365,0.413353,0.00857142857142857,0
