UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A3Q7E6W6,0.425210438,0.295454545,0.037878788,0,1.13,-0.047,1.021,1
A0A3Q7E7D4,0.514889637,0.168350168,0,0.057239057,-0.03,-0.246,0.408795,1
A0A3Q7E8E1,0.44997549,0.286764706,0.036029412,0.064705882,2.76,-0.125,0.902518,1
A0A3Q7E8H4,0.457341908,0.250803859,0,0.090032154,0.89,-0.24,0.884957,1
A0A3Q7E8P1,0.451857984,0.21192053,0.089403974,0.114238411,7.77,0.115,1.28168,1
A0A3Q7E957,0.431170768,0.355704698,0.362416107,0,-1.64,-0.514,0.23755,1
A0A3Q7E9Z3,0.432958419,0.188650307,0,0.124233129,4.83,0.109,0.90291,1
A0A3Q7EA80,0.490338164,0.184782609,0,0,-0.58,-0.221,0.479217,1
A0A3Q7EB31,0.371471471,0.252252252,0.249249249,0.201201201,5.06,-0.025,0.758211,1
A0A3Q7ECX3,0.459959701,0.24611399,0.038860104,0.015544041,0.18,-0.316,0.484804,1
A0A3Q7ED53,0.418696884,0.202549575,0.066572238,0.099150142,5.57,0.241,1.63391,1
A0A3Q7EDB7,0.472315332,0.240223464,0,0,-1.26,-0.351,0.296113,1
A0A3Q7EES8,0.493398491,0.163580247,0,0.092592593,1.48,-0.144,0.270074,1
A0A3Q7EFL8,0.42349385,0.166979362,0.227016886,0.185741088,9.28,0.315,2.80591,1
A0A3Q7EGL4,0.456541219,0.120967742,0.171370968,0.258064516,3.51,0.143,1.01906,1
A0A3Q7EH43,0.431091292,0.246376812,0,0.046822742,2.27,0.015,0.768731,1
A0A3Q7EI25,0.471410256,0.230769231,0,0.042307692,0.4,-0.388,-0.237779,1
A0A3Q7EIW9,0.439137255,0.185882353,0,0.042352941,1.66,-0.068,1.27928,1
A0A3Q7EJ06,0.466423358,0.218978102,0,0,0.07,-0.306,0.0440567,1
A0A3Q7EJ96,0.469754179,0.269026549,0,0,0.14,-0.306,0.677873,1
A0A3Q7EJU7,0.465312376,0.190391459,0,0.078291815,3.2,0.265,0.865257,1
A0A3Q7EJY5,0.491776605,0.101583113,0.547493404,0.654353562,6.17,0.098,0.1784,1
A0A3Q7EK20,0.417569444,0.1703125,0.165625,0.2546875,4,0.52,1.1367,1
A0A3Q7EK67,0.504549808,0.181034483,0,0.056034483,0.49,-0.238,0.210924,1
A0A3Q7EKA1,0.421235219,0.314863676,0.036059807,0.178540018,7.08,0.199,1.54094,1
A0A3Q7EKT1,0.459406566,0.270292208,0,0.035714286,0.39,-0.232,0.859082,1
A0A3Q7EKT5,0.487723388,0.195804196,0.321678322,0.104895105,-1.22,-0.394,-0.844642,1
A0A3Q7ELM3,0.448717949,0.247401247,0.005717256,0.075883576,2.92,0.045,1.1564,1
A0A3Q7ELN1,0.413515483,0.203278689,0.750819672,0.419672131,3.11,-0.03,-0.212655,1
A0A3Q7ELS6,0.465992714,0.272131148,0,0.019672131,0.43,-0.334,0.631709,1
A0A3Q7ELT8,0.501617002,0.182952183,0,0.147609148,2.02,-0.236,0.913316,1
A0A3Q7EMF6,0.412889882,0.208488459,0.038719285,0.088607595,3.52,0.225,1.63453,1
A0A3Q7ENE9,0.478816739,0.244155844,0.049350649,0.119480519,-0.05,-0.258,0.486732,1
A0A3Q7ENL6,0.439958268,0.166666667,0.0657277,0.115023474,3.11,0.122,0.951377,1
A0A3Q7EPT2,0.436120527,0.250847458,0.094915254,0.054237288,-0.13,-0.135,0.28984,1
A0A3Q7EQ07,0.433983573,0.176591376,0.050308008,0.168377823,3.45,0.361,0.876447,1
A0A3Q7EQ88,0.419079079,0.227027027,0.167567568,0.036036036,4.72,0.167,1.55104,1
A0A3Q7EQN7,0.476363896,0.188946015,0,0.059125964,1.59,-0.111,1.14502,1
A0A3Q7ES41,0.441764706,0.232352941,0.091176471,0.047058824,0.92,-0.23,0.840509,1
A0A3Q7ES43,0.469473684,0.205263158,0,0.089473684,0.68,-0.284,-0.600443,1
A0A3Q7ESL5,0.439698778,0.225063939,0.150895141,0.250639386,4.7,0.311,1.5884,1
A0A3Q7ESQ1,0.421132208,0.205696203,0,0.102848101,3.03,0.65,0.86181,1
A0A3Q7ESU4,0.431219807,0.182065217,0.116847826,0.122282609,5.22,0.308,1.6291,1
A0A3Q7ETX5,0.471677749,0.235906331,0,0.026019081,1.2,-0.159,0.612825,1
A0A3Q7EU46,0.504807139,0.169689119,0,0.058290155,2.49,-0.173,1.15502,1
A0A3Q7EUH2,0.460151392,0.253041363,0,0,0.63,-0.376,0.341379,1
A0A3Q7EUI8,0.391666667,0.166666667,0.244047619,0.75,11.26,0.32,9.01742,1
A0A3Q7EUR0,0.563952226,0.123778502,0,0,0.15,-0.221,0.272606,1
A0A3Q7EUT1,0.469211196,0.244274809,0.160305344,0,,-0.398,1.08789,1
A0A3Q7EVY5,0.410465429,0.363196126,0.280871671,0.285714286,0.69,-0.473,1.44469,1
A0A3Q7EWM3,0.43803488,0.229773463,0,0,1.57,0.005,1.5132,1
A0A3Q7EXW0,0.472367783,0.176855895,0,0.198689956,8.29,0.336,2.09945,1
A0A3Q7EY87,0.412105263,0.163157895,0.356140351,0.264912281,6.22,0.333,1.17927,1
A0A3Q7EYY4,0.418368794,0.242553191,0.087234043,0.057446809,5.11,0.201,0.309573,1
A0A3Q7EZ16,0.442564103,0.311538462,0.088461538,0,-0.77,-0.464,-0.1866,1
A0A3Q7EZ34,0.469276094,0.257575758,0.143939394,0.25,,-0.314,0.358956,1
A0A3Q7EZ38,0.372257289,0.377817854,0.500450857,0.175834085,5.2,0.042,2.05316,1
A0A3Q7EZE4,0.383727599,0.290322581,0.948387097,0.083870968,-0.25,-0.201,1.63056,1
A0A3Q7F037,0.49210728,0.24137931,0,0,0.05,-0.315,0.0753065,1
A0A3Q7F049,0.449596916,0.246056782,0,0.056782334,0.41,-0.423,0.475427,1
A0A3Q7F094,0.414859708,0.173737374,0.02020202,0.101010101,7.05,0.207,1.13989,1
A0A3Q7F0B4,0.465737705,0.250819672,0,0.036065574,0.43,-0.308,0.278258,1
A0A3Q7F0G7,0.404217884,0.225596529,0.297180043,0.078091106,4.66,0.171,1.46064,1
A0A3Q7F0I2,0.466836952,0.279693487,0,0,-1.66,-0.432,0.255519,1
A0A3Q7F170,0.458813701,0.244360902,0,0,0.23,-0.238,0.483562,1
