ProteinIndex,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A2K1IE84,0.441194255,0.131519274,0,0.379818594,6.24,0.292,2.79822,1
A0A8D9CPG8,0.35735568,0.312849162,1,0.268156425,3.99,-0.01,1.297,1
A0A3P5YAK4,0.414449918,0.325123153,0.054187192,0.088669951,0.32,-0.473,0.486454,1
B4FSZ8,0.475738057,0.198067633,0.002415459,0.024154589,2.65,-0.154,0.482648,1
Q9ZQ47,0.466463166,0.238095238,0,0.123321123,5.55,-0.159,1.17346,1
A0A1D6G6A1,0.468162613,0.231243577,0.218910586,0.089414183,2.71,-0.003,0.574763,1
A0A2K1IVX7,0.456679512,0.270231214,0.167630058,0.093930636,3.33,-0.204,1.63317,1
B6T4G7,0.456854257,0.246753247,0.113636364,0.233766234,8.07,0.056,2.75939,1
A0A3B6BZG0,0.484331248,0.210008937,0.036639857,0.079535299,0.53,-0.125,1.13363,1
Q0J0J1,0.487011227,0.153310105,0,0.085365854,1.89,-0.202,0.489476,1
A0A8D9LWZ3,0.451623932,0.202797203,0,0.018181818,1.06,-0.194,0.582964,1
O64728,0.430660463,0.270935961,0.105090312,0.096059113,2.9,-0.16,1.30587,1
A0A3B6NSZ5,0.348295706,0.19123506,0.370517928,0.494023904,4.85,0.27,0.143033,1
K7TN98,0.511769873,0.163372859,0,0.098814229,1.89,-0.117,0.826983,1
Q9LIR6,0.456560386,0.219130435,0,0.043478261,1.23,-0.183,0.985437,1
A8HMV4,0.443461538,0.238461538,0.153846154,0.319230769,-0.17,-0.275,0.774464,1
A0A2K3DAH4,0.467600206,0.172147996,0.164953751,0.324768756,6.39,0.186,2.19913,1
A0A494G8M2,0.425322254,0.189837009,0,0,2.49,-0.074,0.640595,1
A0A3B6KJC2,0.392902494,0.3,0.487755102,0.267346939,4.39,-0.138,1.43416,1
A0A3B6A3Q5,0.467278469,0.229129663,0.072824156,0.051509769,2.12,-0.19,0.92578,1
A0A3Q7GSL2,0.464717349,0.192982456,0,0,-0.21,-0.207,0.777323,1
A0A8D9D5C1,0.438250808,0.284839204,0.08575804,0.053598775,0.42,-0.293,0.664543,1
A0A1D6GVS2,0.440284828,0.225888325,0,0.04822335,1.2,-0.111,1.0925,1
A0A2K3DEN8,0.484021842,0.166239316,0.15042735,0.420940171,7.14,0.417,2.05842,1
A0A2K1IVC3,0.396285936,0.359440559,0.268531469,0.198601399,1.7,-0.209,0.514943,1
A0A3Q7J7Z3,0.438325282,0.242028986,0.055072464,0,2.13,-0.146,1.04653,1
A0A3Q7HUW4,0.410205761,0.337037037,0.244444444,0.192592593,-0.25,-0.474,1.0072,1
C7IZH2,0.415398275,0.221461187,0.136986301,0.148401826,2.38,-0.035,0.98284,1
A0A7I3ZXG6,0.424551639,0.183673469,0,0.038961039,3.48,0.197,0.561172,1
C0PGB1,0.452417962,0.165803109,0.191709845,0.321243523,2.42,0.05,1.38546,1
A0A3B6INW9,0.486317627,0.180104712,0.038743455,0.097382199,1.84,-0.083,1.18698,1
A0A3B6NR67,0.437546721,0.327217125,0.256880734,0.19266055,0.34,-0.39,0.130504,1
A0A2K1IE10,0.440031521,0.312056738,0.195035461,0.120567376,-0.33,-0.329,0.989014,1
A0A3Q7FX31,0.468145855,0.232198142,0,0,2,-0.146,0.553903,1
A0A3P6AKG5,0.497936863,0.165548098,0,0.029082774,1.86,-0.04,0.568589,1
Q9FIW9,0.39095143,0.182634731,0.101796407,0.47005988,6.18,0.157,1.55086,1
A0A2K3DB77,0.482780101,0.172503921,0.028097229,0.12362781,7.1,0.102,1.39526,1
A0A1D6EPB3,0.441463831,0.25057648,0.192159877,0.063797079,1.51,-0.178,1.71733,1
A0A3P5Z326,0.466347905,0.258196721,0,0.024590164,0.58,-0.296,1.29803,1
A0A3B5Y4E4,0.441102431,0.28515625,0,0.23046875,0.01,-0.346,0.89551,1
A0A2K1KG63,0.580372807,0.110197368,0,0.087171053,0.91,-0.261,0.308691,1
Q9LM58,0.459459459,0.255255255,0,0.24024024,-0.47,-0.027,0.561123,1
A0A0P0VQL5,0.474747475,0.194805195,0,0,0.9,-0.254,0.714595,1
Q9LDN8,0.414592593,0.293333333,0.726666667,0,-0.3,-0.322,0.939649,1
A0A8D9H408,0.41993007,0.344405594,0,0.232517483,0.07,-0.369,0.715706,1
Q5Z6J4,0.435816993,0.3,0.705882353,0,-0.14,-0.311,0.287275,1
B8A0Q6,0.462915096,0.231017771,0,0.080775444,0.81,-0.191,0.945382,1
A0A8D9LVR2,0.444157218,0.149659864,0.151020408,0.172789116,2.56,0.253,-0.249655,1
A0A397XZU4,0.44162176,0.249422633,0,0.076212471,1.6,-0.271,1.64131,1
C0PGT8,0.470972752,0.185514612,0,0.188055909,4.36,0.173,0.448605,1
A0A7I4BWV2,0.414997071,0.23198594,0.080843585,0.015817223,3.34,0.06,0.61967,1
Q9LK91,0.428391275,0.340490798,0.003067485,0.039877301,0.38,-0.313,1.05413,1
A0A3B6DDJ7,0.456197816,0.159922929,0.05973025,0.208092486,1.74,0.072,-0.173172,1
A0A8D9I254,0.445432099,0.293333333,0,0,-0.52,-0.489,-0.427744,1
A0A2K1KB25,0.418162393,0.327991453,0.210470085,0.10042735,0.3,-0.344,1.1022,1
A0A060CVM9,0.453738977,0.187301587,0.004761905,0.374603175,6,0.166,0.277098,1
A0A3B6FQX1,0.456367326,0.200913242,0.232876712,0.0456621,-0.46,-0.165,0.421308,1
A0A2K3DJH5,0.440703851,0.152390438,0.129482072,0.485059761,3.13,0.755,0.257676,1
A0A3P5YVU0,0.45084621,0.291390728,0,0,0.44,-0.35,0.359936,1
A0A3Q7GKJ9,0.441797942,0.2268431,0.001890359,0.028355388,2.65,0.044,0.513391,1
A0A8D9LQV4,0.405516706,0.370629371,0.398601399,0,0.72,-0.426,0.602223,1
A0A3B6J075,0.489110373,0.198504983,0,0.044019934,1.77,-0.025,0.578929,1
F4KGA5,0.40525687,0.338709677,0,0.155913978,2.31,-0.435,0.683378,1
F4IT98,0.437012509,0.251655629,0.094922737,0.097130243,4.86,0.152,1.50793,1
A0A3B6U9W5,0.495827664,0.173469388,0,0.059183673,0.13,-0.121,0.392688,1
A0A2K1JPV1,0.439255592,0.231023102,0,0.02310231,0.81,-0.262,0.700922,1
A0A8D9LQB5,0.464908136,0.211023622,0,0.04015748,1.65,-0.15,1.00055,1
A0A2K3DJI6,0.425903775,0.344497608,0.034688995,0.131578947,1.93,-0.236,1.24007,1
A0A2K3DW16,0.440722129,0.152428811,0.368509213,0.311557789,6.32,0.192,0.304379,1
A0A8D9DCU4,0.418532377,0.264733396,0.626753976,0.073900842,1.69,0.267,0.995745,1
A0A1D6N1F7,0.468098511,0.273195876,0.257731959,0.113402062,-0.67,-0.257,0.433935,1
A0A3B5Y2C7,0.412754304,0.299295775,0.281690141,0.095070423,3.1,-0.073,1.29617,1
A0A2K3DKH4,0.503022348,0.128836834,0.008077544,0.128634895,8.87,0.194,1.69198,1
A0A3P6C1W9,0.401133787,0.355102041,0.204081633,0.044897959,0.81,-0.458,0.656375,1
A0A3Q7JCE4,0.381449553,0.175287356,1,0.212643678,9.99,0.393,2.25652,1
A0A7I4DHM2,0.477535177,0.195414847,0.042576419,0,1.42,-0.187,0.508507,1
A0A2K1KGQ3,0.447889148,0.205128205,0,0,1.36,-0.224,0.445713,1
A0A0N7KIB9,0.461595824,0.194630872,0.322147651,0.255033557,4.24,0.09,0.214991,1
A0A804RE60,0.449373434,0.237259816,0.005847953,0.024227235,2.06,-0.16,0.841325,1
A0A804QQL2,0.442952275,0.28745838,0.112097669,0.129855716,3.91,-0.227,1.02551,1
A0A2K3DV04,0.477818418,0.133138259,0.095098756,0.779809802,9.28,0.392,1.64042,1
Q9SH31,0.435157296,0.28313253,0.052710843,0,0.63,-0.353,0.807119,1
A9TAS6,0.490546218,0.176470588,0,0.021008403,0.83,-0.278,0.270956,1
A0A0P0XZ47,0.427063084,0.289879931,0,0.348198971,3.97,-0.126,2.2967,1
A0A0N7KQP0,0.431706349,0.328571429,0.1,0.246428571,0.01,-0.279,0.952276,1
A0A7I4AQ18,0.419753086,0.307189542,0.163398693,0,-1.23,-0.209,0.110477,1
A0A3Q7IMS8,0.323790457,0.162162162,0,0,0.39,0.354,1.43247,1
