UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A059VIF5,0.469640313,0.261217949,0.02724359,0.238782051,1.42,-0.115,0.838026,0
A0A078LN07,0.609696342,0.093167702,0,0.260869565,0.67,-0.138,-0.390989,0
A0A098,0.464323103,0.139186296,0,0.67130621,5.21,0.714,1.01535,0
A0A0A1H1F6,0.412432432,0.366486486,0.046486486,0.115675676,2.85,-0.015,0.761135,0
A0A0B5KTL4,0.48951898,0.217150761,0.006915629,0.130013831,0.46,-0.153,0.754192,0
A0A0I9QPW6,0.462094631,0.215311005,0.148325359,0.296650718,2.44,0.133,0.264488,0
A0A0M4M5H7,0.448834639,0.154611212,0.016274864,0.279385172,4.62,0.355,1.85821,0
A0A0M5MUP5,0.496671439,0.226198998,0.071939871,0.465282749,3.86,-0.154,1.27948,0
A0A0S2C767,0.480477562,0.217062635,0.044276458,0.188984881,1.88,-0.126,1.06118,0
A0A0U2Q5E3,0.472422971,0.200162404,0.157531466,0.632967925,7.66,0.222,2.07808,0
A0A0U2YF84,0.428028815,0.135559921,0.24459725,0.652259332,8.4,0.105,1.81928,0
A0A141CN32,0.481027479,0.172043011,0.083870968,0.079569892,2.11,-0.21,1.81387,0
A0A141CN33,0.486263186,0.156618157,0,0.489258489,4.42,0.243,1.34619,0
A0A159YK42,0.378385417,0.364583333,0.377604167,0.234375,1.53,-0.231,1.22616,0
A0A172WYN8,0.454854039,0.224032587,0.054989817,0.231160896,1.1,-0.005,0.432171,0
A0A1Z4F5T9,0.493866264,0.208144796,0,0.033936652,-0.2,-0.387,-0.103469,0
A0A220IUF1,0.428435762,0.354090354,0.054945055,0.19047619,1.04,-0.252,0.799311,0
A0A286T3Q4,0.490728143,0.153061224,0.141723356,0.579365079,4.34,0.02,0.692036,0
A0A2K3CMQ0,0.471283612,0.196347032,0,0.479452055,6.02,0.131,2.14937,0
A0A2K3CMQ5,0.462641975,0.16,0,0.422222222,8.14,0.282,1.57462,0
A0A2K3CMQ8,0.515012723,0.213740458,0.519083969,0.259541985,,-0.415,-0.863101,0
A0A2K3CMR1,0.404359092,0.326474623,0.208504801,0.371742112,6.04,-0.07,1.97122,0
A0A2K3CMS4,0.484188034,0.238461538,0,0,,-0.46,-0.732989,0
A0A2K3CMS5,0.456926714,0.193617021,0,0.338297872,3.14,0.333,0.549656,0
A0A2K3CMS6,0.482191781,0.122042341,0,0.437110834,3.26,0.226,0.686923,0
A0A2K3CMT0,0.494154489,0.215031315,0,0,-0.79,-0.381,-0.581804,0
A0A2K3CMT3,0.501709402,0.230769231,1,0,,-0.584,-1.71057,0
A0A2K3CMT4,0.432307692,0.246153846,1,0,,-0.328,-1.10501,0
A0A2K3CMT5,0.484378844,0.243542435,0,0.132841328,1.02,-0.209,1.08611,0
A0A2K3CMT7,0.495699937,0.217514124,0,0.033898305,-0.45,-0.208,-0.174414,0
A0A2K3CMT8,0.442956473,0.133917397,0.478097622,0.463078849,8.61,0.202,2.01299,0
A0A2K3CMU0,0.461692349,0.121654501,0.01784266,0.731549067,8.1,0.387,1.1781,0
A0A2K3CMU2,0.47866941,0.166666667,0,0.154320988,1.79,-0.18,0.192023,0
A0A2K3CMU4,0.492495359,0.062052506,0.121718377,0.644391408,7.33,0.367,2.03004,0
A0A2K3CMU6,0.487600459,0.185993111,0,0.369690011,2.91,-0.037,1.41682,0
A0A2K3CMV0,0.453763441,0.187096774,0.187096774,0.322580645,-0.62,-0.264,-1.00457,0
A0A2K3CMV5,0.494405412,0.199063232,0,0.056206089,0.25,-0.233,0.816087,0
A0A2K3CMV6,0.487223778,0.233893557,0.032212885,0.047619048,0.26,-0.232,0.0362811,0
A0A2K3CMV7,0.492180588,0.18969555,0,0.237704918,0.54,-0.091,-0.198835,0
A0A2K3CMV9,0.606885759,0.098591549,0.23943662,0,,-0.46,-1.76766,0
A0A2K3CMW1,0.513707371,0.123762376,0,0.638613861,1.93,-0.039,1.20026,0
A0A2K3CMW2,0.484492287,0.144766147,0.072754269,0.593912398,5.37,0.187,1.93263,0
A0A2K3CMW5,0.533333333,0.168421053,0.089473684,0.431578947,-0.37,-0.335,-0.238236,0
A0A2K3CMW7,0.524735019,0.108422522,0.03257329,0.450907399,3.6,-0.002,1.19383,0
A0A2K3CMX1,0.464372393,0.226962457,0.064846416,0.43003413,2.75,-0.005,0.602387,0
A0A2K3CMX4,0.481549439,0.183486239,1,0.467889908,,-0.244,3.95,0
A0A2K3CMX5,0.411276949,0.23880597,1,0,,-0.354,-0.790898,0
A0A2K3CMX6,0.412672176,0.210743802,0.425619835,0.268595041,1.97,-0.054,0.765006,0
A0A2K3CMX9,0.474928972,0.183137526,0,0.223911541,4.03,-0.047,1.00613,0
A0A2K3CMY0,0.398748044,0.23943662,1,0.309859155,,-0.088,-0.00697524,0
A0A2K3CMY4,0.479350069,0.160081054,0.010469436,0.244511989,5.02,0.195,0.976077,0
A0A2K3CMZ5,0.465436275,0.171402797,0.060216509,0.285746504,4.96,0.222,1.41431,0
A0A2K3CMZ7,0.438206628,0.228070175,1,0,,,-2.34304,0
A0A2K3CN03,0.490268604,0.116908851,0.032364597,0.745046235,7.07,0.206,1.73612,0
A0A2K3CN04,0.431015678,0.159509202,1,0.656441718,4.96,0.212,3.89446,0
A0A2K3CN05,0.489990557,0.133144476,0.324645892,0.745609065,10.81,0.351,2.52911,0
A0A2K3CN09,0.47787194,0.13559322,0.072881356,0.425423729,6.39,0.132,1.88609,0
A0A2K3CN10,0.503950617,0.188888889,0.8,0.388888889,,-0.329,0.879322,0
A0A2K3CN11,0.480758808,0.191056911,0,0,0.31,-0.173,-0.0482876,0
A0A2K3CN14,0.543630017,0.108638743,0.066099476,0.744764398,3.88,0.157,1.11236,0
A0A2K3CN18,0.427280265,0.26119403,1,0.537313433,,-0.178,1.3449,0
A0A2K3CN21,0.465349794,0.274074074,0.048148148,0.118518519,0.88,-0.401,0.827587,0
A0A2K3CN22,0.454792197,0.183206107,0.202290076,0.461832061,4.36,-0.133,0.729591,0
A0A2K3CN25,0.505957854,0.179310345,0.048275862,0.472413793,0.89,-0.125,0.0321809,0
A0A2K3CN27,0.491585984,0.170124481,0,0.331950207,1.41,-0.093,0.304836,0
A0A2K3CN29,0.484231275,0.214191853,0.055190539,0.310118265,3.41,0.162,0.842926,0
A0A2K3CN30,0.497958278,0.213049268,0,0.090545939,0.43,-0.296,0.711769,0
A0A2K3CN31,0.417682825,0.285607196,0.37856072,0.275112444,10.27,0.038,2.56214,0
A0A2K3CN32,0.543498818,0.159574468,0.060283688,0.269503546,-0.27,-0.245,-1.12818,0
A0A2K3CN34,0.540223464,0.150837989,0.058659218,0.488826816,-1.35,-0.278,-0.81202,0
A0A2K3CN37,0.470652557,0.206349206,0,0.438095238,4.27,-0.037,1.02851,0
A0A2K3CN39,0.467459229,0.215363512,0.068587106,0.150891632,2.18,-0.126,0.876365,0
A0A2K3CN41,0.442315714,0.171521036,0.594822006,0.627831715,6.4,0.315,1.59927,0
A0A2K3CN43,0.380472813,0.391489362,0.90212766,0.30212766,1.52,-0.367,0.832782,0
A0A2K3CN44,0.446730846,0.247292419,0,0.140794224,1.03,-0.238,0.259342,0
A0A2K3CN47,0.275102881,0.5,1,0.5,,,-0.201204,0
A0A2K3CN52,0.522453149,0.127897682,0.019184652,0.596322942,5.33,0.067,2.22352,0
A0A2K3CN53,0.473615616,0.104324324,0.026486486,0.701621622,6.58,0.378,0.930043,0
A0A2K3CN56,0.467438272,0.146604938,0,0.180555556,6.2,0.124,-0.112649,0
A0A2K3CN58,0.452329749,0.167741935,0.419354839,0.212903226,2.5,-0.144,1.20198,0
A0A2K3CN59,0.5170445,0.166246851,0,0.156171285,0.15,-0.237,-0.215628,0
A0A2K3CN61,0.561111111,0.147058824,0.843137255,0.254901961,,-0.459,-0.682626,0
