UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A060PVV0,0.428253483,0.188073394,0,0.06116208,0.82,0.119,0.838875,0
A0A0A8JCK7,0.569175627,0.124731183,0,0.030107527,-0.06,-0.234,0.127302,0
A0A0M3L7B4,0.482061999,0.230407524,0,0.039184953,-0.59,-0.296,0.67539,0
A0A1W5P464,0.446165644,0.205521472,0,0.042944785,1.6,-0.012,1.58921,0
A0A290WKX8,0.429122807,0.289473684,0,0,-0.22,-0.421,-0.280496,0
A0A290WKX9,0.56390169,0.152073733,0,0.036866359,-1.75,-0.432,-1.12185,0
A0A3Q7E6U9,0.480797912,0.243288591,0,0.02852349,-0.01,-0.209,0.616991,0
A0A3Q7E6W9,0.455332341,0.267857143,0.033482143,0.09375,0.14,-0.338,1.07108,0
A0A3Q7E6Y4,0.445679012,0.333333333,1,0.222222222,,,-1.40232,0
A0A3Q7E6Y7,0.512426304,0.191836735,0,0,-0.55,-0.414,0.0350559,0
A0A3Q7E6Y9,0.422911598,0.244525547,0,0.127737226,1.22,-0.163,0.829254,0
A0A3Q7E6Z1,0.532058288,0.163934426,0,0,,-0.462,-1.16372,0
A0A3Q7E704,0.509209383,0.19461338,0.040834057,0.084274544,1.17,-0.089,0.718973,0
A0A3Q7E705,0.481490787,0.261306533,0,0.072864322,0.34,-0.239,-0.00508033,0
A0A3Q7E728,0.440654465,0.306156406,0.039933444,0.021630616,3.97,-0.102,0.223567,0
A0A3Q7E763,0.501979228,0.215167549,0,0,0.83,-0.3,0.0887016,0
A0A3Q7E766,0.474768519,0.25,0,0,-1.16,-0.32,-0.174528,0
A0A3Q7E771,0.48202226,0.208828523,0,0.020373514,1.34,-0.341,0.614099,0
A0A3Q7E785,0.497882046,0.173020528,0,0.093841642,1.25,0.075,-0.0366404,0
A0A3Q7E788,0.415130635,0.228251507,0.224806202,0.093023256,4.14,0.235,1.24241,0
A0A3Q7E790,0.506631233,0.222095672,0,0.013667426,-0.11,-0.226,0.45032,0
A0A3Q7E792,0.445448461,0.204819277,0.108433735,0,0.6,-0.125,-0.0388621,0
A0A3Q7E797,0.414347826,0.252173913,0.052173913,0.056521739,0.19,-0.118,0.209453,0
A0A3Q7E7A5,0.499801587,0.202380952,0,0.101190476,0.46,-0.257,-0.279925,0
A0A3Q7E7A6,0.477715003,0.163841808,0,0,-0.28,-0.142,0.0585136,0
A0A3Q7E7B4,0.435589226,0.3,0,0.175757576,1.59,-0.257,0.637606,0
A0A3Q7E7C6,0.469955556,0.256,0.32,0.128,,-0.45,-0.95324,0
A0A3Q7E7D1,0.479118382,0.237218814,0,0.030674847,1.61,-0.373,0.053515,0
A0A3Q7E7E6,0.381684982,0.274725275,1,0,,-0.291,-0.897961,0
A0A3Q7E7F1,0.404148148,0.222222222,0,0.177777778,-0.6,-0.106,0.0604085,0
A0A3Q7E7F3,0.456157512,0.275395034,0,0.085778781,0.53,-0.273,0.297338,0
A0A3Q7E7H0,0.517345949,0.168122271,0,0.028384279,0.96,-0.162,-0.0290445,0
A0A3Q7E7H1,0.440933141,0.168831169,0.038961039,0,1.03,-0.2,-0.449617,0
A0A3Q7E7H3,0.46301228,0.246338216,0.042609854,0.017310253,0.37,-0.367,0.492433,0
A0A3Q7E7H4,0.392715232,0.397350993,0.298013245,0.19205298,0.99,-0.362,0.180932,0
A0A3Q7E7H8,0.525108739,0.106761566,0,0.056939502,2.37,-0.03,0.0572558,0
A0A3Q7E7J6,0.471236029,0.174556213,0.106508876,0,0.89,-0.022,0.549215,0
A0A3Q7E7K4,0.467556573,0.221967963,0,0,1.23,-0.347,0.693326,0
A0A3Q7E7L9,0.460776439,0.232931727,0.004016064,0.060240964,1.57,-0.277,-0.0369182,0
A0A3Q7E7M3,0.376666667,0.365,0.305,0,0.97,-0.319,0.83239,0
A0A3Q7E7M7,0.504938272,0.207407407,0,0.091358025,-0.74,-0.333,0.270303,0
A0A3Q7E7M8,0.486640212,0.202380952,0,0,-0.44,-0.269,-0.242745,0
A0A3Q7E7P2,0.497134039,0.19047619,0,0.055555556,-0.14,-0.328,-0.29987,0
A0A3Q7E7P6,0.48627451,0.276816609,0,0.055363322,-0.69,-0.562,-1.15898,0
A0A3Q7E7Q7,0.488789903,0.180400891,0,0,0.59,-0.249,1.188,0
A0A3Q7E7R9,0.453603604,0.283783784,1,0.175675676,,-0.63,-1.36328,0
A0A3Q7E7S5,0.416351166,0.343209877,0.120987654,0.192592593,-0.68,-0.242,0.112372,0
A0A3Q7E7T6,0.510515873,0.232142857,0.723214286,0.357142857,,-0.307,-0.0548382,0
A0A3Q7E7U8,0.445734127,0.265625,0,0.111607143,0.31,-0.298,0.333096,0
A0A3Q7E7V3,0.465930388,0.174698795,0.325301205,0.259036145,2.37,0.019,-1.84174,0
A0A3Q7E7W3,0.540769563,0.122568093,0,0.058365759,0.21,-0.174,-0.163616,0
A0A3Q7E7W4,0.492929293,0.220779221,0,0,-1.09,-0.384,-0.715444,0
A0A3Q7E7Y3,0.482547699,0.229292929,0,0,1.64,-0.202,0.831492,0
A0A3Q7E7Z4,0.45290758,0.242990654,0,0.060747664,1.29,-0.43,0.0988296,0
A0A3Q7E803,0.466774194,0.235483871,0.058064516,0.032258065,0.46,-0.213,0.945056,0
A0A3Q7E809,0.466239316,0.269230769,1,0,,,-2.3724,0
A0A3Q7E812,0.471785029,0.224568138,0.138195777,0.09596929,0.73,-0.269,0.599822,0
A0A3Q7E820,0.467827869,0.270491803,0.116803279,0.018442623,0.85,-0.394,0.239102,0
A0A3Q7E824,0.499211356,0.212933754,0,0.074132492,1.68,-0.228,1.05991,0
A0A3Q7E825,0.496068833,0.222963952,0.070761015,0.064085447,1.93,-0.093,0.750696,0
A0A3Q7E826,0.471111111,0.220560748,0,0.017445483,2.72,-0.136,1.16905,0
A0A3Q7E829,0.455007825,0.258215962,0,0.028169014,-0.36,-0.358,0.373951,0
A0A3Q7E834,0.440061162,0.275229358,0.743119266,0,,-0.458,0.485637,0
A0A3Q7E862,0.444168482,0.278431373,0,0.048366013,2.06,-0.3,0.725834,0
A0A3Q7E872,0.465925926,0.16,1,0,,-0.301,-2.02641,0
A0A3Q7E876,0.586363636,0.090909091,0.378787879,0,,-0.37,-2.19351,0
A0A3Q7E879,0.465608466,0.253968254,0,0.104056437,0.82,0.004,0.290118,0
A0A3Q7E881,0.468208903,0.226340694,0,0.018138801,0.62,-0.242,0.50537,0
A0A3Q7E884,0.453474055,0.258575198,0.055408971,0.029023747,-0.06,-0.332,0.4299,0
A0A3Q7E898,0.491501715,0.220902613,0,0,-0.18,-0.35,-0.361978,0
A0A3Q7E8A5,0.583270911,0.146067416,0.337078652,0,,-0.488,-1.63356,0
A0A3Q7E8B3,0.510793651,0.185714286,0,0,-0.34,-0.406,-1.3915,0
A0A3Q7E8B7,0.465424322,0.206299213,0.022047244,0.022047244,1.4,-0.219,0.3551,0
A0A3Q7E8B9,0.457314149,0.294964029,0,0,,-0.454,-0.426209,0
A0A3Q7E8C3,0.342114695,0.129032258,1,0.258064516,,0.221,-0.167831,0
A0A3Q7E8C9,0.450722354,0.223404255,0,0.125295508,1.37,0.204,0.553723,0
A0A3Q7E8E8,0.470888889,0.22,1,0,,,-0.882066,0
