UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A3Q7I4B6,0.416 ,0.267 ,0.000 ,0.033 ,1.200 ,-0.206 ,1.212 ,1
A0A2K1IE84,0.441 ,0.132 ,0.000 ,0.380 ,6.240 ,0.292 ,2.798 ,1
A0A8D9CPG8,0.357 ,0.313 ,1.000 ,0.268 ,3.990 ,-0.010 ,1.297 ,1
A0A3B6AYT2,0.433 ,0.271 ,0.065 ,0.070 ,1.970 ,-0.172 ,0.931 ,1
A0A3P5YAK4,0.414 ,0.325 ,0.054 ,0.089 ,0.320 ,-0.473 ,0.486 ,1
B4FSZ8,0.476 ,0.198 ,0.002 ,0.024 ,2.650 ,-0.154 ,0.483 ,1
A0A8D9HI67,0.443 ,0.292 ,0.241 ,0.086 ,1.040 ,-0.221 ,0.765 ,1
A0A2K1K033,0.430 ,0.253 ,0.000 ,0.053 ,0.660 ,-0.180 ,0.678 ,1
Q9ZQ47,0.466 ,0.238 ,0.000 ,0.123 ,5.550 ,-0.159 ,1.173 ,1
A0A1D6G6A1,0.468 ,0.231 ,0.219 ,0.089 ,2.710 ,-0.003 ,0.575 ,1
A0A2K1IVX7,0.457 ,0.270 ,0.168 ,0.094 ,3.330 ,-0.204 ,1.633 ,1
B6T4G7,0.457 ,0.247 ,0.114 ,0.234 ,8.070 ,0.056 ,2.759 ,1
A0A8D9LWZ3,0.452 ,0.203 ,0.000 ,0.018 ,1.060 ,-0.194 ,0.583 ,1
O64728,0.431 ,0.271 ,0.105 ,0.096 ,2.900 ,-0.160 ,1.306 ,1
A0A3B6NSZ5,0.348 ,0.191 ,0.371 ,0.494 ,4.850 ,0.270 ,0.143 ,1
Q9LIR6,0.457 ,0.219 ,0.000 ,0.043 ,1.230 ,-0.183 ,0.985 ,1
A0A2K3DAH4,0.468 ,0.172 ,0.165 ,0.325 ,6.390 ,0.186 ,2.199 ,1
A0A494G8M2,0.425 ,0.190 ,0.000 ,0.000 ,2.490 ,-0.074 ,0.641 ,1
A0A3B6KJC2,0.393 ,0.300 ,0.488 ,0.267 ,4.390 ,-0.138 ,1.434 ,1
A0A1D6KNA9,0.387 ,0.321 ,0.293 ,0.196 ,2.200 ,-0.218 ,-0.034 ,1
A0A3Q7GSL2,0.465 ,0.193 ,0.000 ,0.000 ,-0.210 ,-0.207 ,0.777 ,1
A0A8D9D5C1,0.438 ,0.285 ,0.086 ,0.054 ,0.420 ,-0.293 ,0.665 ,1
A0A2K1L9A8,0.452 ,0.276 ,0.066 ,0.038 ,0.990 ,-0.270 ,0.711 ,1
A0A7I4CQG2,0.406 ,0.260 ,0.158 ,0.062 ,2.350 ,-0.143 ,0.926 ,1
A0A1D6GVS2,0.440 ,0.226 ,0.000 ,0.048 ,1.200 ,-0.111 ,1.093 ,1
A0A2K1IVC3,0.396 ,0.359 ,0.269 ,0.199 ,1.700 ,-0.209 ,0.515 ,1
A0A3Q7J7Z3,0.438 ,0.242 ,0.055 ,0.000 ,2.130 ,-0.146 ,1.047 ,1
A0A3Q7HUW4,0.410 ,0.337 ,0.244 ,0.193 ,-0.250 ,-0.474 ,1.007 ,1
C7IZH2,0.415 ,0.221 ,0.137 ,0.148 ,2.380 ,-0.035 ,0.983 ,1
F4HU48,0.411 ,0.275 ,0.053 ,0.084 ,0.630 ,0.065 ,0.255 ,1
A0A7I3ZXG6,0.425 ,0.184 ,0.000 ,0.039 ,3.480 ,0.197 ,0.561 ,1
Q5XV66,0.432 ,0.298 ,0.000 ,0.073 ,-0.010 ,-0.257 ,0.701 ,1
C0PGB1,0.452 ,0.166 ,0.192 ,0.321 ,2.420 ,0.050 ,1.385 ,1
A0A3B6INW9,0.486 ,0.180 ,0.039 ,0.097 ,1.840 ,-0.083 ,1.187 ,1
A0A3Q7GIR0,0.422 ,0.285 ,0.000 ,0.000 ,-1.160 ,-0.405 ,-0.001 ,1
A0A3B6NR67,0.438 ,0.327 ,0.257 ,0.193 ,0.340 ,-0.390 ,0.131 ,1
A0A1D6E5I6,0.458 ,0.249 ,0.038 ,0.090 ,1.200 ,-0.218 ,0.606 ,1
A0A2K1IE10,0.440 ,0.312 ,0.195 ,0.121 ,-0.330 ,-0.329 ,0.989 ,1
Q9FJ16,0.454 ,0.284 ,0.000 ,0.000 ,-0.310 ,-0.390 ,0.181 ,1
O49389,0.442 ,0.227 ,0.624 ,0.166 ,2.570 ,-0.080 ,-0.303 ,1
A0A3P6AKG5,0.498 ,0.166 ,0.000 ,0.029 ,1.860 ,-0.040 ,0.569 ,1
Q9FIW9,0.391 ,0.183 ,0.102 ,0.470 ,6.180 ,0.157 ,1.551 ,1
A0A2K3DB77,0.483 ,0.173 ,0.028 ,0.124 ,7.100 ,0.102 ,1.395 ,1
A0A1D6EPB3,0.441 ,0.251 ,0.192 ,0.064 ,1.510 ,-0.178 ,1.717 ,1
A0A3P5Z326,0.466 ,0.258 ,0.000 ,0.025 ,0.580 ,-0.296 ,1.298 ,1
A0A3Q7H668,0.464 ,0.265 ,0.000 ,0.040 ,1.060 ,-0.219 ,0.945 ,1
A0A0P0VQL5,0.475 ,0.195 ,0.000 ,0.000 ,0.900 ,-0.254 ,0.715 ,1
Q9LDN8,0.415 ,0.293 ,0.727 ,0.000 ,-0.300 ,-0.322 ,0.940 ,1
A0A8D9H408,0.420 ,0.344 ,0.000 ,0.233 ,0.070 ,-0.369 ,0.716 ,1
Q5Z6J4,0.436 ,0.300 ,0.706 ,0.000 ,-0.140 ,-0.311 ,0.287 ,1
B8A0Q6,0.463 ,0.231 ,0.000 ,0.081 ,0.810 ,-0.191 ,0.945 ,1
A0A8D9LVR2,0.444 ,0.150 ,0.151 ,0.173 ,2.560 ,0.253 ,-0.250 ,1
A0A397XZU4,0.442 ,0.249 ,0.000 ,0.076 ,1.600 ,-0.271 ,1.641 ,1
C0PGT8,0.471 ,0.186 ,0.000 ,0.188 ,4.360 ,0.173 ,0.449 ,1
A0A7I4BWV2,0.415 ,0.232 ,0.081 ,0.016 ,3.340 ,0.060 ,0.620 ,1
