UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A024RB53,0.402 ,0.241 ,0.175 ,0.331 ,14.720 ,0.364 ,3.870 ,1
A0A0B4LEZ3,0.479 ,0.190 ,0.000 ,0.070 ,3.970 ,0.251 ,0.705 ,1
A0A0C9PCY9,0.494 ,0.140 ,0.023 ,0.119 ,2.010 ,-0.046 ,1.762 ,1
A0A0D9RS87,0.342 ,0.381 ,0.537 ,0.442 ,5.000 ,0.190 ,1.193 ,1
A0A0D9S7U2,0.374 ,0.244 ,0.549 ,0.527 ,7.660 ,0.478 ,2.406 ,1
A0A0R4IAW9,0.432 ,0.165 ,0.107 ,0.189 ,4.610 ,0.181 ,1.432 ,1
A0A0U1RRE5,0.388 ,0.206 ,1.000 ,0.250 ,#N/A,-0.286 ,-0.562 ,1
A0A2K3E7A5,0.449 ,0.225 ,0.000 ,0.320 ,7.220 ,0.256 ,1.297 ,1
A0A6H0ME53,0.475 ,0.194 ,0.000 ,0.060 ,1.090 ,-0.118 ,0.607 ,1
A0QSY1,0.491 ,0.170 ,0.000 ,0.113 ,7.240 ,0.404 ,0.865 ,1
A1Z651,,0.231 ,0.000 ,0.092 ,#N/A,-0.148 ,0.816 ,1
A1Z7A8,0.425 ,0.292 ,0.000 ,0.060 ,0.590 ,-0.300 ,0.555 ,1
A1Z813,0.462 ,0.151 ,0.041 ,0.248 ,3.440 ,0.405 ,0.496 ,1
A1Z8C4,0.424 ,0.277 ,0.383 ,0.000 ,1.330 ,-0.397 ,-0.203 ,1
A6NC42,0.461 ,0.267 ,0.216 ,0.000 ,#N/A,-0.543 ,-1.149 ,1
A6NFN3,0.430 ,0.163 ,0.218 ,0.170 ,2.690 ,0.069 ,0.562 ,1
A8IXG3,0.464 ,0.220 ,0.707 ,0.000 ,#N/A,-0.295 ,-0.370 ,1
B3DL84,0.439 ,0.227 ,0.000 ,0.024 ,1.970 ,0.000 ,0.946 ,1
B4DQF0,0.369 ,0.321 ,1.000 ,0.179 ,#N/A,-0.394 ,0.070 ,1
B5DE31,0.323 ,0.335 ,0.713 ,0.448 ,2.930 ,0.009 ,1.804 ,1
C3XWA2,0.448 ,0.198 ,0.000 ,0.226 ,5.050 ,0.059 ,1.596 ,1
D0PV95,0.408 ,0.246 ,0.250 ,0.274 ,12.890 ,0.446 ,3.564 ,1
D3KYQ3,0.445 ,0.120 ,0.000 ,0.482 ,8.230 ,0.355 ,4.192 ,1
D3YXK2,0.356 ,0.393 ,0.743 ,0.187 ,5.760 ,0.093 ,1.765 ,1
D3ZU13,0.430 ,0.268 ,0.289 ,0.162 ,3.890 ,0.149 ,1.002 ,1
D8V196,0.426 ,0.189 ,0.000 ,0.161 ,4.800 ,0.164 ,1.272 ,1
E1JJR3,0.444 ,0.231 ,0.036 ,0.093 ,1.270 ,0.368 ,0.664 ,1
E1UZH7,0.406 ,0.303 ,0.000 ,0.223 ,3.260 ,-0.089 ,3.584 ,1
F1M049,0.416 ,0.169 ,0.385 ,0.258 ,6.580 ,0.263 ,0.816 ,1
F1R237,0.466 ,0.247 ,0.009 ,0.017 ,2.450 ,-0.165 ,0.674 ,1
F4ID16,0.441 ,0.118 ,0.000 ,0.257 ,7.000 ,0.217 ,1.989 ,1
F4IS91,0.375 ,0.362 ,0.378 ,0.232 ,4.550 ,0.167 ,1.738 ,1
F6SEU4,0.432 ,0.236 ,0.169 ,0.143 ,4.930 ,0.126 ,1.192 ,1
G5EBV6,0.466 ,0.245 ,0.082 ,0.162 ,11.110 ,0.087 ,1.206 ,1
G5EC37,0.426 ,0.292 ,0.046 ,0.070 ,0.350 ,-0.320 ,0.571 ,1
G5EDE7,0.412 ,0.241 ,0.690 ,0.199 ,1.840 ,-0.065 ,0.115 ,1
G5EEH9,0.448 ,0.191 ,0.000 ,0.117 ,5.810 ,0.388 ,1.768 ,1
G5EEM5,0.467 ,0.261 ,0.000 ,0.097 ,1.910 ,-0.026 ,0.591 ,1
G5EFT5,0.399 ,0.218 ,0.131 ,0.075 ,3.350 ,0.211 ,1.161 ,1
G8JLB6,0.437 ,0.212 ,0.000 ,0.201 ,9.570 ,0.408 ,2.541 ,1
H0WFA5,0.409 ,0.263 ,0.075 ,0.064 ,2.710 ,0.191 ,0.339 ,1
H2L067,0.440 ,0.205 ,0.000 ,0.106 ,0.600 ,0.137 ,0.690 ,1
H3BMX5,,0.262 ,0.000 ,0.000 ,#N/A,-0.447 ,0.069 ,1
