UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,temp,RAV,Score
A0A178UDZ2,0.418557763,0.237086093,0,0.058278146,2.69,0.345,0.61173,0.271856333,0.566897553,1
A0A178VPC5,0.446636432,0.272108844,0,0,-2.05,-0.444,-0.609297,0.4462,0.605817031,1
A0A1I9LLC0,0.39933665,0.233830846,0.361525705,0.189054726,3.56,0.53,1.20972,0.72105,0.763454988,1
A0A1I9LLZ1,0.446611342,0.219917012,0.139004149,0.170124481,4.52,-0.009,1.69304,0.098596333,0.681336609,1
A0A1I9LMB4,0.492132737,0.177852349,0,0.100671141,0.83,-0.251,0.88762,0.138106833,0.526496166,1
A0A1I9LMI8,0.516383745,0.085648148,0.018518519,0.902777778,9.89,0.264,12.6034,0.030713333,0.521129426,1
A0A1I9LPJ2,0.402440291,0.364485981,0.140186916,0.112149533,-1.41,-0.514,0.485572,0.142560333,0.499303058,1
A0A1I9LPZ1,0.401291152,0.229166667,0.234259259,0.109259259,4.18,0.419,1.82557,0.198836667,0.788471727,1
A0A1I9LQK5,0.428911001,0.208955224,0.07628524,0.165837479,4.16,0.071,1.42367,0.071601617,0.721761177,1
A0A1I9LQM9,0.467676768,0.245791246,0,0.141414141,0.48,-0.264,1.97383,0.040332667,0.328856342,1
A0A1I9LRG3,0.46209596,0.206818182,0,0.168181818,2.38,-0.001,-0.359511,0.150933833,0.553173161,1
A0A1I9LRS6,0.436987916,0.143236074,0.236074271,0.408488064,9.37,0.366,1.67677,0.098829333,0.588999446,1
A0A1I9LSB9,0.352093398,0.280193237,0.461352657,0.560386473,11.95,0.221,5.95975,0.082709667,0.757148615,1
A0A1I9LTA1,0.433547009,0.239454094,0.027295285,0.10483871,3.89,0.049,1.80383,0.240485,0.744311013,1
A0A1P8AM97,0.371685824,0.095402299,1,0.979310345,0.18,0.108,-0.507706,0.253833667,0.797236413,1
A0A1P8AQ03,0.416367805,0.129697863,0,0.238761975,2.68,0.639,0.833468,0.078411917,#N/A,1
A0A1P8AQT8,0.449817251,0.190789474,0,0.088815789,1.03,-0.193,0.592683,0.067623333,0.374586054,1
A0A1P8AS03,0.412396694,0.204958678,0.107438017,0.125619835,5.58,0.271,1.62566,0.103724333,0.695651114,1
A0A1P8ASS1,0.449015682,0.207207207,0.018018018,0.117117117,2.62,0.08,0.770152,0.240389,0.737906274,1
A0A1P8ATX4,0.391763668,0.258730159,0.149206349,0.353968254,3.79,0.151,0.663008,0.204637667,0.687258246,1
A0A1P8ATZ6,0.483091787,0.206521739,0,0.239130435,0.45,-0.177,-0.0365914,0.175406667,0.627127871,1
A0A1P8AV32,0.473563017,0.189401889,0,0.064008395,2.85,-0.015,1.35078,0.080736667,#N/A,1
A0A1P8AVY3,0.491688713,0.21031746,0,0.089285714,0.22,-0.33,0.649678,0.157823333,0.282311368,1
A0A1P8AWU9,0.463180137,0.242472266,0.033280507,0.091917591,0.91,-0.139,0.711981,0.471496667,0.475806675,1
A0A1P8AXC4,0.459105851,0.262327416,0,0.059171598,0.72,-0.303,2.10523,0.13434,0.346814296,1
A0A1P8AY36,0.436610343,0.271889401,0,0,-0.68,-0.237,-0.0217262,0.453966667,0.529479379,1
A0A1P8B068,0.485320357,0.131386861,0,0.062043796,1.06,-0.243,-0.291278,0.038545667,0.403956947,1
A0A1P8B0W4,0.440984757,0.193140794,0.138086643,0.107400722,5.41,0.24,1.13345,0.110843333,0.412520906,1
A0A1P8B3W0,0.425246914,0.288888889,0.394444444,0.077777778,-1.08,-0.401,-0.551289,0.243436667,0.685406617,1
A0A1P8B4Y6,0.408128482,0.339233038,0.362831858,0.200589971,3.03,-0.111,1.06321,0.376375,0.667489938,1
A0A1P8B6K1,0.362656287,0.238499646,0.831564048,0.098372258,7.14,0.163,2.45158,0.294003333,#N/A,1
A0A1P8B9B2,0.405406556,0.256704981,0,0.490421456,7.44,0.128,-0.275073,0.049778333,0.740401743,1
A0A1P8B9R0,0.426404927,0.234411085,0.070438799,0.113163972,1.8,0.254,0.92676,0.52182,0.658417368,1
A0A1P8B9Z1,0.445080191,0.230169051,0,0.098829649,1.61,-0.049,0.804326,0.197344667,0.63151305,1
A0A1P8BBL5,0.399214242,0.287292818,0.226519337,0.170165746,6.67,0.313,1.30623,0.050330583,0.740031141,1
A0A1P8BBP3,0.408943089,0.242026266,0.21575985,0.159474672,1.14,-0.128,0.534823,0.33682,0.795770827,1
A0A1P8BF26,0.435086566,0.197238659,0,0.031558185,4.68,0.122,2.03662,0.368328333,0.696332338,1
A0A1P8BF32,0.447762919,0.310549777,0.104011887,0.074294205,0.84,-0.358,1.40942,0.370221667,0.322210018,1
A0A1P8BFC2,0.41077147,0.362445415,0.991266376,0.471615721,0.72,-0.46,-0.371272,0.053956667,0.727867199,1
A0A1P8BG25,0.48515353,0.203703704,0,0.086894587,1.03,-0.179,1.04433,0.119888333,0.308744561,1
A0A1P8BGZ1,0.498324089,0.222758991,0,0.042941492,0.33,-0.326,0.526051,0.043818333,#N/A,1
A0A219I0W9,0.560348059,0.142168675,0.002409639,0.091566265,-0.03,-0.314,0.142788,0.54315,0.446858159,1
A0A2H1ZEE9,0.324637681,0.347826087,0.314381271,0.434782609,3.33,-0.118,1.20909,0.301878333,0.735904903,1
A1A6M1,0.43387884,0.312661499,0,0.170542636,0.26,-0.413,0.0961015,0.152831,0.629420138,1
A4FVR1,0.424270531,0.15826087,0.08,0.073043478,2.79,0.224,0.89783,0.223972833,0.837121766,1
A4GSN8,0.397021819,0.36072623,0.278547539,0.156235069,1.23,-0.178,0.810549,0.044617333,0.641807826,1
A8MQL1,0.413072499,0.257855823,0.220887246,0.155268022,3.03,0.142,1.29681,0.140461,0.666469531,1
A8MR45,0.449583786,0.115635179,0,0.149837134,3,0.28,1.80221,0.256968333,0.771886739,1
A8MR97,0.417089057,0.227510157,0.094602438,0.101567034,5.05,0.238,1.48306,0.05695,#N/A,1
A8MRL0,0.452168022,0.292682927,0.042682927,0,-0.23,-0.413,-0.619621,0.1067,0.670297964,1
A8MRW1,0.533813215,0.139534884,0.102990033,0,-0.53,-0.246,0.302909,0.176313333,0.378992771,1
A9LNK9,0.395421729,0.239302694,0.123613312,0.245641838,8.3,0.42,1.86509,0.2290585,0.651424876,1
B3H5K9,0.450667803,0.204603581,0,0.049872123,1.41,-0.085,1.0487,0.220528333,0.587082413,1
B3H7F6,0.409367631,0.167202572,0.311897106,0.235369775,3.56,0.352,1.46198,0.141566333,#N/A,1
B3H7H1,0.508367291,0.19804401,0,0.095354523,-0.5,-0.246,0.0731175,0.264166667,0.38041086,1
B9DGK6,0.451735331,0.179775281,0,0.092134831,3.06,-0.08,1.09753,0.198986667,0.340509021,1
B9DHK3,0.403290676,0.160877514,0.468007313,0.303473492,6.05,0.404,0.794867,0.05735805,0.782285864,1
C0LGN2,0.47456427,0.199019608,0,0.064705882,2.03,-0.169,1.15095,0.012719833,0.319218514,1
C0LU16,0.458433253,0.223021583,0.776978417,0.122302158,,-0.196,-0.728676,0.13705,0.575817185,1
F4HP45,0.417149082,0.204481793,0.280112045,0.18487395,1.92,-0.052,0.0612253,0.278988333,0.775231309,1
F4HPA7,0.445385068,0.243386243,0,0,0.37,-0.262,-0.0259244,0.451683333,0.597969778,1
F4HQB9,0.400876594,0.344262295,0.271516393,0.070696721,1.42,-0.286,0.426993,0.350998333,0.695164217,1
F4HQH8,0.450604686,0.234693878,0,0.19047619,1.11,-0.202,0.446579,0.038328317,0.566436097,1
F4HR76,0.452191894,0.275434243,0,0.032258065,-0.34,-0.358,0.322495,0.0733525,0.421312013,1
F4HRT5,0.383019238,0.392226148,0.516784452,0.078621908,2.88,-0.271,1.09534,0.039669395,0.676349756,1
F4HS99,0.441872256,0.25542571,0.038397329,0.082915971,3.36,0.072,1.02041,0.550545,0.510561354,1
F4HSW8,0.40297885,0.237935657,0.170241287,0.143431635,3.05,0.197,1.91042,0.030613,0.776992746,1
F4HTR6,0.460681874,0.183222958,0,0.08388521,3.25,0.044,0.466198,0.065863833,0.444177847,1
F4HUQ5,0.439416058,0.109489051,0.01459854,0,4.02,0.325,0.914231,0.273606667,0.709810255,1
F4HV67,0.441576227,0.169767442,0,0.095348837,1.81,0.283,0.564684,0.065249967,0.498385997,1
F4HWB0,0.426659272,0.229617304,0.076539101,0.103161398,3.55,0.113,1.16552,0.316253667,0.624113445,1
F4HWS5,0.417457833,0.228482003,0.142410016,0.064162754,5.28,0.121,1.14962,0.45048,0.681714381,1
F4HXM8,0.513721104,0.214765101,0,0.11409396,-0.09,-0.39,0.140126,0.087821667,0.437745127,1
F4HXP0,0.419644991,0.188940092,0,0.041474654,1.86,0.033,0.799997,0.279969,0.777422516,1
F4HXV6,0.484896782,0.224726776,0,0.079918033,1.82,-0.091,0.793348,0.102422833,0.363104782,1
F4HXZ1,0.435855004,0.245862884,0.088652482,0.180851064,2.89,0.41,0.336298,0.325126667,0.398657082,1
F4HY33,0.414212735,0.225779967,0.322660099,0.129720854,4.66,0.297,1.51913,0.305885167,0.733283658,1
F4HYJ6,0.461921872,0.246268657,0,0.026533997,1.56,-0.071,0.96474,0.079430833,0.391754415,1
F4HZ57,0.591222222,0.115,0,0.21,0.12,-0.333,0.274419,0.23464,0.386386642,1
F4HZD1,0.433003766,0.281779661,0,0.012711864,0.98,-0.293,0.610799,0.2131415,0.454654716,1
F4HZI8,0.369905437,0.391489362,0.380851064,0.140425532,1.38,-0.312,1.22031,0.402688333,0.680485636,1
F4HZS8,0.433255517,0.314157079,0,0.050025013,1.12,-0.236,0.739294,0.008672517,0.607398694,1
F4I1G1,0.391964166,0.164861613,0.385078219,0.141997593,2.85,0.539,1.35522,0.087683517,0.813084277,1
F4I1T7,0.451536253,0.180868609,0.02308961,0.189664651,9.36,0.246,1.60083,0.213556,0.690690295,1
