UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A077RQ21,0.449650794,0.262857143,0,0,0.53,-0.384,-0.079227,1
A0A077RQB4,0.409246886,0.1796585,0.293244246,0.292501856,13.88,0.789,2.50771,1
A0A077RWI8,0.416546895,0.137645108,0.446102819,0.364842454,5.27,0.433,0.499947,1
A0A077RWL8,0.478698906,0.259067358,0,0.155440415,-0.51,-0.485,0.324079,1
A0A077S0N3,0.475426136,0.240056818,0.049715909,0.125,0.24,-0.059,0.856452,1
A0A077S144,0.47260101,0.159090909,0.138636364,0.484090909,8.65,0.383,2.83682,1
A0A077S198,0.454750403,0.182608696,0.023188406,0.037681159,1.32,-0.152,0.557905,1
A0A077S1D5,0.466358025,0.244444444,0,0.048148148,1.15,-0.164,0.671143,1
A0A077S1R6,0.422525473,0.220524017,0.060043668,0.055676856,5.48,0.419,1.13783,1
A0A077S298,0.507070707,0.25,0.386363636,0.340909091,-0.7,-0.36,-1.09668,1
A0A077S3H1,0.452275132,0.295238095,0,0,-0.34,-0.443,-0.296783,1
A0A096UN73,0.461401471,0.111498258,0.146341463,0.386759582,10.16,0.403,3.14105,1
A0A096URP1,0.4996115,0.199300699,0,0.090909091,0.16,-0.34,0.850098,1
A0A096USR9,0.457343148,0.212933754,0.15615142,0.217665615,6.3,0.155,1.98915,1
A0A0C4BIW4,0.443708609,0.291390728,0,0.145695364,-0.22,-0.374,0.655934,1
A0A0C4BK99,0.434325397,0.241071429,0,0,,-0.343,0.808508,1
A0A0C4BKM5,0.464508393,0.273381295,0.460431655,0.208633094,,-0.339,0.749618,1
A0A0H4LXI0,0.444376694,0.237804878,0,0,1.46,-0.208,0.529024,1
A0A1D5RS51,0.510275689,0.180451128,0,0,1.34,-0.345,0.71515,1
A0A1D5SV65,0.510903814,0.175373134,0,0,1.34,-0.177,1.015,1
A0A1D5TTT2,0.500110834,0.211970075,0,0.102244389,-0.1,-0.212,0.613348,1
A0A1D5UGJ0,0.477987421,0.221024259,0,0.035040431,1.02,-0.223,1.23726,1
A0A1D5UGP2,0.436118004,0.270471464,0,0.451612903,2.4,-0.075,-0.331153,1
A0A1D5UMU8,0.51149667,0.223974763,0,0.05573081,0.47,-0.343,0.712373,1
A0A1D5UPP8,0.506074074,0.166666667,0,0.093333333,0.41,-0.074,0.646933,1
A0A1D5UV55,0.567049808,0.124137931,0,0,-0.35,-0.295,0.213358,1
A0A1D5UWN7,0.469366563,0.229906542,0,0.078504673,0.66,-0.23,0.488136,1
A0A1D5V186,0.480267559,0.214046823,0,0.160535117,-0.18,-0.232,-0.379244,1
A0A1D5V1G5,0.488111888,0.202797203,0,0.08041958,0.49,-0.326,0.276657,1
A0A1D5V2G6,0.471783626,0.203947368,0.171052632,0.207236842,0.75,-0.111,-0.143197,1
A0A1D5V348,0.473771256,0.220125786,0,0.14884696,0.18,-0.261,0.306355,1
A0A1D5X5C6,0.479516652,0.233421751,0,0,1.03,-0.293,0.300556,1
A0A1D5YNP5,0.474403292,0.251851852,0.133333333,0.266666667,,-0.245,1.32133,1
A0A1D5ZLT0,0.509433962,0.177358491,0,0,2.02,-0.292,0.713566,1
