UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A024B7W1,0.483630344,0.227578148,0,0.032135554,1.55,-0.182,1.3524,0
A0A060ZAA1,0.414761905,0.314285714,0.307142857,0.085714286,-0.13,-0.411,0.196532,0
A0A068MVV3,0.40957265,0.215384615,1,0,#N/A,-0.234,-1.48097,0
A0A097F4I8,0.457912458,0.171717172,1,0.323232323,#N/A,-0.407,-1.53063,0
A0A0C4DGY3,0.464290429,0.207920792,0,0.053465347,1.22,-0.063,-0.000228697,0
A0A0G2JXC5,0.448008992,0.195568401,0.040462428,0.167630058,2.94,0.238,0.450679,0
A0A0H2WWV6,0.444602209,0.288032454,0,0,0.23,-0.32,1.18829,0
A0A0H2WZ38,0.441015089,0.288065844,0.090534979,0,2.84,-0.351,1.37123,0
A0A0H3GD84,0.447784079,0.224952741,0,0.028355388,-0.68,-0.164,1.06922,0
A0A0J9X1Q5,0.49703009,0.209847597,0,0.015240328,0.71,-0.159,0.644679,0
A0A0P0E482,0.438444444,0.24,0,0,-0.01,-0.344,0.847566,0
A0A0S2UQQ5,0.420380117,0.239473684,0,0,0.99,-0.297,0.537878,0
A0A109PRQ3,0.483705002,0.227578148,0,0.032135554,1.57,-0.182,1.35387,0
A0A140DLX4,0.483769922,0.228162431,0,0.032135554,1.59,-0.182,1.35049,0
A0A140GKJ0,0.416792929,0.306818182,1,0,#N/A,-0.475,-0.55374,0
A0A178W0D3,0.423080223,0.32046332,0.204633205,0.108108108,-0.56,-0.323,-0.0183937,0
A0A1B0XTC8,,0.227286006,0,0.032135554,#N/A,-0.182,1.35114,0
A0A1L1QJU3,0.444296296,0.32,0.826666667,0,#N/A,-0.831,-1.20636,0
A0A1V0E2H9,,0.226993865,0,0.032135554,#N/A,-0.182,1.34937,0
A0A1Y0DDB3,0.477851361,0.238410596,0,0,0.4,-0.396,0.159075,0
A0A220GHA5,0.385952381,0.371428571,0.114285714,0.15,-0.96,-0.372,0.79472,0
A0A2I4HXH5,0.475257299,0.206049149,0,0.043478261,1.34,-0.163,1.36378,0
A0A2V2WGW5,0.424901961,0.335294118,0.205882353,0.058823529,0.08,-0.338,1.26503,0
A0A2Z5UJ33,0.432954038,0.265060241,0.006024096,0.022088353,1.15,-0.102,0.838418,0
A0A384E149,0.4579347,0.218678815,0,0.06833713,0.94,-0.084,0.926907,0
A0A3S7WPD8,0.442330184,0.20242915,0,0,0.73,-0.035,0.239625,0
A0A452CSQ9,0.424324324,0.243243243,1,0,#N/A,-0.441,-0.484428,0
A0A504X6A3,0.474047899,0.183745583,0.070671378,0,0.04,-0.145,0.447886,0
A0A504Y5E1,0.445847953,0.242105263,0.119298246,0.087719298,0.17,-0.217,-0.0501825,0
A0A5P2U9X4,0.430344379,0.228070175,0.040935673,0.131578947,1.86,0.105,0.723563,0
A0A6L0XH39,0.47256479,0.219839142,0.104557641,0.109919571,0.99,-0.272,0.137953,0
A0L5S6,0.549229521,0.164233577,0,0,-0.97,-0.384,-0.751611,0
A0LU48,0.452794345,0.264413519,0,0.027833002,0.19,-0.219,0.301798,0
A0NLY7,0.483988171,0.212927757,0,0.060836502,0.7,-0.323,0.433968,0
A0NXQ8,0.496185286,0.226158038,0,0,1.76,-0.387,0.426258,0
A0QU63,0.426915114,0.304347826,0,0,-1.29,-0.435,0.421275,0
A0R1T8,0.519916856,0.224489796,0,0.078231293,0.51,-0.315,0.186829,0
A0R5M8,0.494669436,0.258566978,0,0,-1.05,-0.429,-0.18183,0
A0ZWU1,0.411996459,0.282868526,0.294820717,0.047808765,-0.42,-0.313,0.276608,0
A0ZZH6,0.463381834,0.238095238,0,0,0.38,-0.057,0.629422,0
A1AA28,0.483514887,0.215686275,0,0,-1.74,-0.474,-1.29236,0
A1B602,0.430982906,0.384615385,1,0,#N/A,-0.638,-0.446677,0
A1B8N7,0.49391253,0.239361702,0,0.090425532,-0.43,-0.337,-0.355296,0
A1L1Q4,0.476606754,0.230392157,0,0,0.49,-0.351,-0.0951377,0
A2RJT9,0.492318685,0.205787781,0,0.045016077,-0.35,-0.258,0.661374,0
A2VD23,0.27669023,0.466557912,0.933115824,0.538336052,4.93,-0.255,2.01093,0
A2WPN7,0.504444444,0.15862069,0,0,0.37,-0.311,1.54623,0
A3M692,0.5066961,0.165562914,0,0,-0.83,-0.347,-0.381237,0
A3MSP1,0.512130479,0.275229358,0.073394495,0.146788991,#N/A,-0.7,-0.628638,0
A3RMR8,,0.235246564,0,0.041228779,#N/A,-0.167,0.755074,0
A4C1A5,0.386,0.386666667,0.693333333,0.186666667,-1.18,-0.479,0.961375,0
A4D126,0.493643755,0.228381375,0.062084257,0,0.63,-0.207,-0.0899104,0
A4ECA9,0.487494719,0.228136882,0,0.068441065,-0.85,-0.281,0.566612,0
A4HN55,0.485083115,0.220472441,0,0,0.02,-0.277,0.0328343,0
A4HSQ5,0.443184885,0.20242915,0,0,0.57,-0.062,0.252318,0
A4HV47,0.474204947,0.183745583,0.060070671,0,0.23,-0.145,0.513505,0
A4IBS2,0.489195101,0.212598425,0,0,-0.15,-0.315,-0.00829842,0
A4IDD0,0.454124579,0.261363636,0.102272727,0.049242424,-0.91,-0.073,0.243153,0
A4IDD6,0.464422369,0.225165563,0,0,0.52,-0.222,0.226557,0
A4IDS4,0.480126468,0.24796748,0.138211382,0.081300813,-0.82,-0.3,-0.330891,0
A4L7I2,,0.235246564,0,0.041228779,#N/A,-0.167,0.754862,0
A4L7I4,,0.234842361,0,0.041228779,#N/A,-0.167,0.751889,0
A4XF23,0.47371476,0.221393035,0,0.029850746,-0.38,-0.281,0.501074,0
A4ZNR2,0.448393021,0.280991736,0.074380165,0,#N/A,-0.341,-0.934732,0
A5F384,0.492995169,0.242753623,0,0.050724638,-0.38,-0.368,0.0676615,0
A5HC98,0.460941719,0.260715864,0,0.021652673,1.13,-0.217,0.908481,0
A5JTM5,0.495704254,0.237918216,0,0.074349442,-0.62,-0.39,-0.301618,0
A5U6C6,0.519773243,0.2,0,0.048979592,-0.32,-0.359,-0.00217262,0
A6ND01,0.468666667,0.184,0,0.04,2.13,-0.312,-0.858837,0
A6NF83,0.372852234,0.319587629,1,0.360824742,#N/A,-0.309,-0.541945,0
A6Q0K5,0.475700935,0.317757009,1,0.177570093,#N/A,-0.562,-1.57807,0
A6QHR2,0.445740741,0.261904762,0,0,-0.82,-0.324,1.25638,0
A6T6J6,0.479993286,0.175226586,0,0,-0.15,-0.27,0.389405,0
A7UMX5,0.416131191,0.230923695,0.996987952,0.11746988,2.94,0.052,0.59185,0
A7UNK4,0.459338061,0.159574468,0.042553191,0,#N/A,-0.204,-0.0240948,0
A7XXC1,0.475190259,0.205479452,0,0,0.84,-0.321,-0.558363,0
