UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A0B5GT25,0.486554192,0.202453988,0.035276074,0.018404908,-0.01,-0.207,0.60964,0
A0A0B5HMW4,0.450236407,0.255319149,0.755319149,0.127659574,,-0.5,-0.720231,0
A0A146J578,0.469876543,0.211111111,0,0,,-0.451,-1.24966,0
A0A1B0XS01,0.431121769,0.261390887,0,0.196642686,1.92,-0.052,0.90902,0
A0A249RPI2,0.511439195,0.169291339,0,0.061023622,1.24,-0.249,1.0926,0
A0A249RQ33,0.594719472,0.138613861,0.079207921,0.198019802,,-0.371,-1.54944,0
A0A397KUD4,0.397017544,0.321052632,0.284210526,0.305263158,-0.12,-0.37,-0.0542828,0
A0A397KVQ9,0.461253041,0.224452555,0,0.02919708,1.58,-0.054,0.429655,0
A0A397KXF3,0.548290598,0.166666667,0.128205128,0,,-0.523,-1.88595,0
A0A397KXX7,0.497152935,0.215419501,0,0.111111111,0.86,-0.209,-0.0082004,0
A0A397KYN2,0.410161443,0.290598291,0.743589744,0,,-0.432,-0.187335,0
A0A397KYV8,0.477733333,0.235,0,0.075,0.74,-0.24,0.336086,0
A0A397KZ45,0.488198554,0.236686391,0,0.109467456,-0.19,-0.352,0.204977,0
A0A397KZ47,0.420236586,0.258555133,0.171102662,0.220532319,1.05,-0.317,-0.506448,0
A0A397KZ52,0.432154156,0.290767903,0.115616911,0.050043141,0.74,-0.258,1.2823,0
A0A397KZB3,0.470819849,0.242718447,0.002427184,0.033980583,-0.59,-0.318,0.509242,0
A0A397KZC0,0.458986928,0.308823529,0,0,-0.88,-0.552,-0.00973594,0
A0A397KZN8,0.427350427,0.338461538,0,0,,-0.52,-0.0329813,0
A0A397KZX6,0.489260689,0.218790219,0,0.054054054,0.32,-0.253,0.324324,0
A0A397L0N0,0.503819444,0.03125,0.5703125,0.75,,0.064,-2.4059,0
A0A397L0T3,0.5304414,0.191780822,0.890410959,0.205479452,,-0.446,-1.16519,0
A0A397L194,0.463647343,0.260869565,0,0.092391304,-0.95,-0.251,-0.153161,0
A0A397L1P9,0.453896842,0.243353783,0.059304703,0.040899796,0.91,-0.284,1.12622,0
A0A397L2S8,0.410539683,0.254285714,0,0.145714286,2.03,-0.147,1.02289,0
A0A397L2V1,0.378678679,0.25,0.310810811,0,-0.22,-0.008,0.618706,0
A0A397L2W5,0.482222222,0.261971831,0,0.067605634,-0.81,-0.485,-0.0227226,0
A0A397L363,0.488486069,0.223564955,0.084592145,0.18429003,1.14,-0.261,0.412765,0
A0A397L4B2,0.446448087,0.232786885,0.150819672,0.127868852,0.48,-0.246,-0.556239,0
A0A397L4G7,0.422222222,0.291925466,0.086956522,0.192546584,0.01,-0.178,0.242026,0
A0A397L4I9,0.393477283,0.376518219,0.032388664,0.052631579,-0.32,-0.54,-0.162391,0
A0A397L4W6,0.492274678,0.21888412,0,0,0.11,-0.218,-0.259064,0
A0A397L5D2,0.415473251,0.244444444,0.637037037,0,,-0.24,1.1244,0
A0A397L5I1,0.493670886,0.193037975,0,0.132911392,-0.96,-0.257,0.0174789,0
A0A397L5Z0,0.475088968,0.234875445,0,0.131672598,-1.45,-0.272,-0.253788,0
A0A397L650,0.36351706,0.37007874,1,0.267716535,,-0.22,-0.364967,0
A0A397L677,0.478210678,0.233766234,0,0.149350649,-0.91,-0.395,-0.371991,0
A0A397L693,0.475793651,0.25,1,0,,,-0.985666,0
A0A397L6G7,0.448826915,0.201195219,0.179282869,0.139442231,2.26,0.034,-0.149355,0
A0A397L716,0.455200946,0.226950355,0,0.039007092,1.1,-0.291,0.417306,0
A0A397L749,0.445915033,0.25,1,0,,-0.592,-1.55099,0
A0A397L788,0.420702754,0.250712251,0,0.048433048,-0.47,-0.092,0.311223,0
A0A397L790,0.476419753,0.244444444,0.188888889,0.122222222,,-0.537,-1.71818,0
A0A397L7H3,0.477851118,0.264026403,0,0.085808581,-0.79,-0.249,-0.34262,0
A0A397L7U0,0.453178419,0.235576923,0.052884615,0.091346154,1.21,-0.227,0.12049,0
A0A397L7X2,0.491561181,0.215189873,0.594936709,0.189873418,,-0.574,-1.77968,0
A0A397L839,0.466666667,0.255319149,0.255319149,0.219858156,1.13,-0.313,-0.936022,0
A0A397L905,0.438938345,0.258160237,0.109792285,0,0.47,-0.353,0.315078,0
A0A397L940,0.578039216,0.111764706,0,0.164705882,-1.02,-0.29,-1.08039,0
A0A397L9A4,0.515208333,0.175,0,0.2,0.49,-0.403,-1.22439,0
A0A397L9V1,0.461396011,0.237179487,0,0.217948718,-1.73,-0.433,-0.0427336,0
A0A397XH88,0.461349826,0.259765625,0,0,0.56,-0.303,0.2351,0
A0A397XHE0,0.422933771,0.113300493,0.192118227,0.192118227,1.78,0.333,0.408223,0
A0A397XHH9,0.445597049,0.269709544,0.012448133,0.136929461,0.26,-0.051,-0.239772,0
A0A397XHN7,0.548952787,0.207667732,0,0.134185304,0.26,-0.489,-0.717552,0
A0A397XHN8,0.624796748,0.12195122,0,0.213414634,-0.51,-0.412,-1.35111,0
A0A397XHQ3,0.482939068,0.2,0.238709677,0.167741935,-0.57,-0.329,-0.076352,0
A0A397XHS0,0.403665521,0.298969072,0.175257732,0.056701031,1.36,-0.296,-0.0675635,0
A0A397XHV4,0.457019811,0.279069767,0.612403101,0.248062016,,-0.555,-0.392182,0
A0A397XHY4,0.487539361,0.165991903,0,0.072874494,1.15,-0.019,0.515466,0
A0A397XI00,0.586574074,0.136904762,0,0.077380952,-0.31,-0.378,-0.656735,0
A0A397XI51,0.425897436,0.286538462,0.025,0,0.19,-0.371,0.140011,0
A0A397XI77,0.499616858,0.252873563,0.620689655,0.402298851,,-0.677,-1.46626,0
A0A397XI86,0.388749565,0.448275862,0.777429467,0.275862069,2.09,-0.363,0.934781,0
A0A397XIE0,0.465612053,0.275706215,0,0.01920904,1.15,-0.293,0.442103,0
A0A397XIF2,0.500666134,0.21822542,0,0.043165468,-0.66,-0.268,0.629226,0
A0A397XIF3,0.570955166,0.118421053,0,0,-1.89,-0.374,-1.24261,0
A0A397XIJ3,0.501651652,0.153153153,0,0.081081081,0.74,-0.277,0.240915,0
A0A397XIJ6,0.512786596,0.186507937,0,0.111111111,0.74,-0.278,0.306894,0
A0A397XIR7,0.392861255,0.378238342,0.176165803,0.295336788,-0.83,-0.455,0.296342,0
A0A397XJ00,0.480879865,0.236886633,0,0.030456853,0.49,-0.317,0.472226,0
A0A397XJ02,0.397916667,0.375,0.409722222,0.194444444,-0.12,-0.492,1.39057,0
A0A397XJ07,0.475873016,0.234285714,0.48,0.32,-0.38,-0.369,-1.29646,0
A0A397XJ40,0.469310202,0.237918216,0.074349442,0.092936803,-0.49,-0.22,0.232339,0
A0A397XJ42,0.447777778,0.3,0,0.068181818,0.85,-0.527,0.0304166,0
A0A397XJ81,0.414951989,0.160493827,0.230452675,0.041152263,0.98,0.062,0.0415901,0
A0A397XJ93,0.438073671,0.198369565,0,0.092391304,1.5,0.002,0.748132,0
A0A397XJB5,0.436145689,0.280497925,0.092946058,0.047302905,2.07,-0.106,1.08523,0
A0A397XJD7,0.438590203,0.333333333,0.198924731,0.133064516,0.41,-0.465,0.977073,0
A0A397XJE1,0.549537976,0.144016227,0,0.117647059,-0.25,-0.248,0.0291915,0
A0A397XJE3,0.503442879,0.164319249,0,0.107981221,-0.02,-0.221,0.0375879,0
A0A397XJF4,0.416728167,0.254612546,0.239852399,0.092250923,0.9,-0.163,0.175933,0
A0A397XJF6,0.488366572,0.226495726,0,0.094017094,1.25,-0.336,0.231996,0
A0A397XJG0,0.45988935,0.244813278,0,0,0.06,-0.265,0.301324,0
A0A397XJJ9,0.488806584,0.214814815,0,0,,-0.382,0.26862,0
A0A397XJK2,0.416571429,0.234285714,0.925714286,0.188571429,1.21,-0.118,0.530658,0
A0A397XJM2,0.46926749,0.22962963,0,0.031111111,-0.38,-0.257,0.825594,0
A0A397XJM9,0.535448461,0.178313253,0.06746988,0.13253012,-0.77,-0.407,-0.269404,0
A0A397XJT5,0.447065527,0.256410256,0,0.046153846,-0.62,-0.366,0.357012,0
A0A397XJW3,0.474496528,0.24375,0,0.0859375,1.4,-0.218,0.639746,0
