UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A0A7EPL0,0.449940968,0.158205431,0,0.011806375,2.8,0.161,0.493527,0
A0A178U9N5,0.4470194,0.263492063,0.003174603,0.044444444,-0.26,-0.391,-0.204798,0
A0A178UBU5,0.407298073,0.291512915,0.177121771,0,2.2,-0.338,0.208506,0
A0A178UBX1,0.453270292,0.255319149,0,0.015602837,0.28,-0.124,0.776506,0
A0A178UFB0,0.449853575,0.241860465,0,0.074418605,1.07,-0.203,0.624113,0
A0A178UFC4,0.39813176,0.300884956,0.92920354,0.10619469,,-0.363,-0.516723,0
A0A178UIA0,0.439705297,0.23297491,0,0.139784946,-0.17,0.017,0.0831965,0
A0A178UIE7,0.427846791,0.211180124,0,0,1.83,0.085,0.112502,0
A0A178UL80,0.445943414,0.278246206,0.096121417,0.118043845,0.33,-0.187,0.507527,0
A0A178ULY3,0.470698132,0.247787611,0.637168142,0.097345133,,-0.468,0.00148653,0
A0A178UPC0,0.495913155,0.227586207,0,0,0.72,-0.237,0.865943,0
A0A178UQA6,0.481728395,0.22962963,0,0.037037037,0.34,-0.316,0.33919,0
A0A178URA5,0.463566907,0.263261297,0.029469548,0,0.07,-0.284,0.877182,0
A0A178US29,0.500303281,0.187344913,0.012406948,0.093052109,0.55,-0.242,0.639697,0
A0A178USC6,0.416307352,0.268656716,0.194029851,0.208955224,6.09,-0.069,1.4689,0
A0A178UUY0,0.503253796,0.197396963,0,0.088937093,1.02,-0.377,0.400856,0
A0A178UV56,0.476594565,0.28452579,0.084858569,0.031613977,0.32,-0.434,-0.235737,0
A0A178UV67,0.448271605,0.277777778,0,0.162962963,-1.12,-0.458,-0.603024,0
A0A178UW40,0.538311688,0.116883117,0,0,0.52,-0.279,-0.263491,0
A0A178UWL0,0.434483467,0.28650647,0.131238447,0.19038817,2.76,-0.283,1.42079,0
A0A178UWU9,0.42541507,0.344827586,0.022988506,0,-0.83,-0.45,0.267967,0
A0A178UXH8,0.49329922,0.206140351,0,0.037280702,1.88,-0.319,0.535346,0
A0A178UYZ3,0.37755884,0.328407225,0.119868637,0.027914614,2.18,-0.217,1.857,0
A0A178UZ09,0.548769841,0.160714286,0,0.196428571,-0.42,-0.327,-0.0498722,0
A0A178UZR1,0.437559913,0.341176471,0.168627451,0.247058824,0.67,-0.655,-0.837601,0
A0A178V090,0.55454018,0.140992167,0,0.046997389,-0.82,-0.397,-0.447608,0
A0A178V165,0.474756006,0.255067568,0,0,-0.2,-0.21,0.234757,0
A0A178V1V2,0.438233264,0.316770186,0.111801242,0.186335404,-0.89,-0.571,-0.143409,0
A0A178V266,0.471963155,0.196891192,0,0,-0.77,-0.236,-0.76976,0
A0A178V2E9,0.408637993,0.251612903,0,0.067741935,2.39,-0.222,0.694666,0
A0A178V2T3,0.580643275,0.136842105,0,0.194736842,-1.84,-0.438,-1.22513,0
A0A178V5Q1,0.39437037,0.32,1,0,,-0.445,-0.388588,0
A0A178V7F9,0.496899225,0.223572939,0,0.005813953,1.47,-0.285,0.723302,0
A0A178V7N9,0.397940613,0.379310345,0.004310345,0.090517241,0.73,-0.396,1.23517,0
A0A178V7P2,0.446516008,0.268765133,0,0,0.43,-0.265,0.0772994,0
A0A178V900,0.466051011,0.295514512,0,0.092348285,0.69,-0.371,0.430783,0
A0A178V9P2,0.420959596,0.25,0.310606061,0,,-0.289,-0.558591,0
A0A178VA69,0.469074492,0.223476298,0.108352144,0.099322799,0.13,-0.203,0.319571,0
A0A178VAM2,0.551469404,0.148550725,0.03442029,0.079710145,0.23,-0.302,-0.10832,0
A0A178VEB5,0.484184463,0.17270195,0,0.164345404,0.31,-0.236,0.976959,0
A0A178VEK7,0.416444444,0.293333333,0.203333333,0.086666667,-0.12,-0.215,0.386301,0
A0A178VGH9,0.557264957,0.145299145,0,0.102564103,-1.42,-0.391,-0.937999,0
A0A178VGJ3,0.452768232,0.171821306,0.197594502,0.343642612,7.2,-0.044,0.0895183,0
A0A178VGS0,0.527314815,0.174242424,0,0,-0.62,-0.314,-0.57754,0
A0A178VHK0,0.471975309,0.211111111,0.055555556,0,,-0.609,-2.25237,0
A0A178VI87,0.44968254,0.206122449,0,0.024489796,2.45,-0.164,0.282718,0
A0A178VJW0,0.418675265,0.349455865,0.199516324,0.172914148,1.45,-0.245,1.05189,0
A0A178VK06,0.434647551,0.161290323,0.446236559,0.397849462,1.89,0.171,-0.842469,0
A0A178VL84,0.430652148,0.209694415,0.004214963,0.031612223,3.17,0.19,0.915734,0
A0A178VM33,0.455345912,0.264150943,0.754716981,0.141509434,,-0.402,0.384488,0
A0A178VM97,0.340487062,0.417808219,0.760273973,0.315068493,1.19,-0.44,0.254262,0
A0A178VNT0,0.469974555,0.221374046,0,0.106870229,,-0.295,-0.0813343,0
A0A178VPF6,0.517697753,0.152354571,0.008310249,0.094182825,-0.19,-0.389,-0.598237,0
A0A178VQ59,0.421455939,0.271551724,0.198275862,0.086206897,1.48,-0.28,1.36697,0
A0A178VQA8,0.433161512,0.159793814,0.131443299,0.255154639,0.6,0.112,0.209682,0
A0A178VR01,0.458560918,0.281705948,0,0.044893378,0.21,-0.257,0.772635,0
A0A178VR03,0.462668205,0.24567474,0,0,1.01,-0.166,0.587293,0
A0A178VRD3,0.488210594,0.209302326,0,0.034883721,1.06,-0.377,-0.737906,0
A0A178VRK6,0.500316764,0.230263158,0,0,-0.04,-0.45,0.230689,0
A0A178VRU4,0.452540273,0.156133829,0.237918216,0.282527881,2.94,0.112,-0.62702,0
A0A178VTI3,0.426576535,0.266293706,0.107132867,0.050909091,2.56,0.034,1.51546,0
A0A178VTR6,0.422139303,0.305970149,0.78358209,0.104477612,,-0.503,-0.731159,0
A0A178VUB9,0.46042618,0.205479452,1,0,,-0.359,-1.59743,0
A0A178VV12,0.428449328,0.318681319,0,0.054945055,-0.5,-0.304,-0.324324,0
A0A178VY54,0.450999355,0.295938104,0,0.046421663,0.28,-0.253,0.465626,0
A0A178VY62,0.454234701,0.261051374,0.02688172,0.078853047,2.05,-0.043,0.695923,0
A0A178VZD3,0.438773148,0.282986111,0,0.027777778,0.58,-0.292,0.652733,0
A0A178W0K0,0.465048544,0.233009709,0,0.061488673,3.33,-0.176,-0.0234087,0
A0A178W169,0.445821855,0.26446281,0,0,0.26,-0.268,-0.114822,0
A0A178W211,0.45479798,0.246212121,0,0.049242424,0.09,-0.163,-0.0179527,0
A0A178W313,0.497773855,0.183583407,0,0.057369815,0.74,-0.072,0.953795,0
A0A178W3G2,0.403773353,0.384955752,0.485619469,0.169247788,1.94,-0.425,1.13757,0
