"UniproEntry","Hydropathy","FCR","IDR","LCR","Pscore","PLAAC","catGRANULE","PhosFreq","Score"
"A0A077RQ21",0.449650794,0.262857143,0,0,0.53,-0.384,-0.079227,0.068571429,1
"A0A077RWI8",0.416546895,0.137645108,0.446102819,0.364842454,5.27,0.433,0.499947,0.111111111,1
"A0A077RWL8",0.478698906,0.259067358,0,0.155440415,-0.51,-0.485,0.324079,0.082901554,1
"A0A077S0N3",0.475426136,0.240056818,0.049715909,0.125,0.24,-0.059,0.856452,0.102272727,1
"A0A077S144",0.47260101,0.159090909,0.138636364,0.484090909,8.65,0.383,2.83682,0.065909091,1
"A0A077S198",0.454750403,0.182608696,0.023188406,0.037681159,1.32,-0.152,0.557905,0.101449275,1
"A0A077S1D5",0.466358025,0.244444444,0,0.048148148,1.15,-0.164,0.671143,0.088888889,1
"A0A077S298",0.507070707,0.25,0.386363636,0.340909091,-0.7,-0.36,-1.09668,0.125,1
"A0A077S3H1",0.452275132,0.295238095,0,0,-0.34,-0.443,-0.296783,0.057142857,1
"A0A096PTJ8",0.41916221,0.219251337,0.072192513,0.176470588,6.49,0.274,2.24471,0.069518717,1
"A0A096QE47",0.463572933,0.183649289,0,0.026066351,3.79,-0.136,1.10547,0.099526066,1
"A0A096RWW7",0.489421894,0.169741697,0,0,1.97,-0.258,0.365424,0.066420664,1
"A0A096UN73",0.461401471,0.111498258,0.146341463,0.386759582,10.16,0.403,3.14105,0.142857143,1
"A0A096URP1",0.4996115,0.199300699,0,0.090909091,0.16,-0.34,0.850098,0.055944056,1
"A0A0B4J3A7",0.477805078,0.26044226,0,0,0.38,-0.29,0.236538,0.078624079,1
"A0A0C4BIW4",0.443708609,0.291390728,0,0.145695364,-0.22,-0.374,0.655934,0.099337748,1
"A0A0C4BK99",0.434325397,0.241071429,0,0,NA,-0.343,0.808508,0.080357143,1
"A0A0C4BKM5",0.464508393,0.273381295,0.460431655,0.208633094,NA,-0.339,0.749618,0.071942446,1
"A0A0H4LXI0",0.444376694,0.237804878,0,0,1.46,-0.208,0.529024,0.077235772,1
"A0A0N7KH91",0.356533333,0.264,1,0.404,1.15,0.3,-0.423677,0.132,1
"A0A0N7KNJ2",0.420362992,0.175298805,0.163346614,0.211155378,0.74,0.272,0.686057,0.103585657,1
"A0A0N7KP29",0.422605364,0.212643678,0,0.192528736,3.37,0.12,0.771736,0.066091954,1
"A0A0N7KUB2",0.401078749,0.187702265,0.207119741,0.074433657,1.76,0.175,0.650364,0.177993528,1
"A0A0P0UYN0",0.39849537,0.213541667,0.447916667,0.3125,3.2,0.01,3.74482,0.072916667,1
"A0A0P0V145",0.436482335,0.202764977,0.099078341,0,2.01,0.059,0.316189,0.071428571,1
"A0A0P0VBK7",0.426076575,0.257866462,0.013814275,0.07828089,2.16,0.082,1.06599,0.023023791,1
"A0A0P0VDY2",0.40150289,0.213872832,0.071676301,0.139884393,3.34,0.414,0.956736,0.136416185,1
"A0A0P0VED0",0.438566828,0.300724638,0.246376812,0.242753623,1.63,-0.422,0.318542,0.333333333,1
"A0A0P0VEN2",0.425238095,0.148809524,0.096428571,0.138095238,4.02,0.242,1.52982,0.085714286,1
"A0A0P0VFT9",0.473310023,0.250582751,0,0,0.84,-0.233,0.707113,0.009324009,1
"A0A0P0VNC1",0.342886335,0.462068966,1,0.216091954,2.64,-0.353,0.704189,0.048275862,1
"A0A0P0VSV2",0.415804914,0.353135314,0.396039604,0.270627063,1.95,-0.536,0.0474709,0.02640264,1
"A0A0P0VTX8",0.411281179,0.220663265,0,0,2.61,0.065,1.26639,0.008928571,1
"A0A0P0VW12",0.444489734,0.17798913,0.014945652,0.061141304,2.09,0.136,1.61602,0.032608696,1
"A0A0P0VYY6",0.461584596,0.198863636,0.102272727,0.125,3.44,0.082,0.845409,0.03125,1
"A0A0P0W038",0.435972222,0.2625,0.4375,0,NA,-0.413,0.615537,0.3375,1
"A0A0P0W1G0",0.448359616,0.182707993,0,0.296900489,3.71,0.077,1.90344,0.030995106,1
"A0A0P0W3U8",0.478478478,0.198198198,0.009009009,0.09009009,NA,-0.394,-1.24777,0.297297297,1
"A0A0P0W524",0.394660533,0.188205772,0.140526976,0.086574655,3.57,0.061,1.6694,0.037641154,1
"A0A0P0W5Q6",0.343236715,0.270186335,0.639751553,0.173913043,3.54,0.139,1.46887,0.059006211,1
"A0A0P0W7J8",0.43223545,0.266666667,0.035714286,0.076190476,1.11,0.017,0.794867,0.016666667,1
"A0A0P0W844",0.477348777,0.22007722,0,0.073359073,1.18,-0.184,0.599152,0.046332046,1
"A0A0P0W9R6",0.423760684,0.292307692,0.18974359,0.271794872,0.13,-0.357,0.374376,0.076923077,1
"A0A0P0W9R9",0.494630872,0.100671141,0.087248322,0.520134228,4.23,0.052,1.68113,0.003355705,1
"A0A0P0WDD7",0.549250936,0.146067416,0,0.404494382,-1.83,-0.212,-1.50147,0.061797753,1
"A0A0P0WI29",0.390809328,0.345679012,0.241769547,0.112139918,3.05,-0.19,0.847288,0.21090535,1
"A0A0P0WL76",0.463589744,0.276923077,1,0,NA,-0.44,-1.08051,0.2,1
"A0A0P0WPT1",0.368131739,0.252109705,0.597046414,0.280590717,4.97,0.207,1.23494,0.053797468,1
"A0A0P0WRT9",0.457455664,0.231813246,0,0.084147666,4.02,0.102,0.837291,0.008686211,1
"A0A0P0WVJ8",0.501598721,0.26618705,0.705035971,0.294964029,NA,-0.45,0.421765,0.323741007,1
"A0A0P0WY24",0.479427549,0.243291592,0,0.091234347,-0.23,-0.257,0.465936,0.067978533,1
"A0A0P0WZH3",0.414990138,0.313609467,0.420118343,0,0.82,-0.341,-0.311599,0.065088757,1
"A0A0P0X0W6",0.418585859,0.315151515,0.218181818,0.181818182,-0.18,-0.374,-0.0310537,0.060606061,1
"A0A0P0X3D9",0.473440107,0.138138138,0,0.051051051,1.8,-0.049,0.568245,0.057057057,1
"A0A0P0X5L8",0.408422939,0.387096774,0.887096774,0.120967742,NA,-0.589,0.353614,0.064516129,1
"A0A0P0X6B9",0.373022405,0.302469136,0.290123457,0.100823045,3.32,-0.061,1.21613,0.092592593,1
"A0A0P0X6L8",0.45265215,0.271356784,0,0.075376884,0.02,-0.411,0.504978,0.105527638,1
"A0A0P0X7J0",0.421575342,0.198630137,0.092465753,0.482876712,11.98,0.318,4.38599,0.164383562,1
"A0A0P0XCL4",0.468176915,0.223300971,0.067961165,0,NA,-0.34,-0.802251,0.087378641,1
"A0A0P0XCP2",0.426845638,0.234899329,0.124161074,0.025727069,2.25,0.22,0.845834,0.035794183,1
"A0A0P0XCV9",0.428175656,0.222811671,0.076923077,0.24933687,6.64,0.321,2.19135,0.013262599,1
"A0A0P0XDW1",0.408058608,0.285714286,1,0.318681319,NA,-0.332,-1.18494,0.527472527,1
"A0A0P0XNM8",0.453584229,0.258064516,1,0,NA,-0.442,-0.244575,0.225806452,1
"A0A0P0XU17",0.392126984,0.131428571,0.245714286,0.28,6.34,0.529,1.35758,0.034285714,1
"A0A0P0XW06",0.487950522,0.151631478,0,0,1.88,-0.081,0.574535,0.007677543,1
"A0A0P0XZ22",0.4796875,0.0953125,0.6171875,0.44375,9.04,0.371,1.9464,0.04375,1
"A0A0P0Y1K3",0.359656085,0.073809524,0.980952381,0.421428571,8.94,0.549,2.3626,0.116666667,1
"A0A0P0Y677",0.434112619,0.142533937,0.140271493,0.323529412,6.57,0.485,1.07749,0.054298643,1
"A0A0P0Y742",0.414306229,0.206785137,0.206785137,0.064620355,3.72,0.238,1.29787,0.040387722,1
"A0A0P0Y7F6",0.495993685,0.1669627,0,0.010657194,1.47,-0.099,0.640514,0.150976909,1
"A0A0P0YAX3",0.420915033,0.317647059,1,0,NA,-0.493,-0.0995973,1.011764706,1
"A0A0P0YCA1",0.452962963,0.2,0,0.302380952,3.36,0.003,1.68326,0.028571429,1
"A0A178UDZ2",0.418557763,0.237086093,0,0.058278146,2.69,0.345,0.61173,0.128476821,1
"A0A178VPC5",0.446636432,0.272108844,0,0,-2.05,-0.444,-0.609297,0.095238095,1
"A0A1D5UGJ0",0.477987421,0.221024259,0,0.035040431,1.02,-0.223,1.23726,0.07277628,1
"A0A1D5UGP2",0.436118004,0.270471464,0,0.451612903,2.4,-0.075,-0.331153,0.096774194,1
"A0A1D5UPP8",0.506074074,0.166666667,0,0.093333333,0.41,-0.074,0.646933,0.063333333,1
"A0A1D5UWN7",0.469366563,0.229906542,0,0.078504673,0.66,-0.23,0.488136,0.069158879,1
"A0A1D5V186",0.480267559,0.214046823,0,0.160535117,-0.18,-0.232,-0.379244,0.100334448,1
"A0A1D5V2G6",0.471783626,0.203947368,0.171052632,0.207236842,0.75,-0.111,-0.143197,0.072368421,1
"A0A1D5V348",0.473771256,0.220125786,0,0.14884696,0.18,-0.261,0.306355,0.077568134,1
"A0A1D5YNP5",0.474403292,0.251851852,0.133333333,0.266666667,NA,-0.245,1.32133,0.044444444,1
"A0A1D6ANS4",0.469360269,0.272727273,0,0.086580087,0.69,-0.258,0.879028,0.093073593,1
"A0A1D6ARD8",0.441595442,0.213675214,0.709401709,0.632478632,NA,0.048,2.35619,0.051282051,1
"A0A1D6BQY9",0.456950673,0.226457399,0.080717489,0.062780269,0.54,-0.129,0.490325,0.103139013,1
"A0A1D6DVG1",0.461545894,0.241304348,0.110869565,0.106521739,0.32,-0.07,0.723155,0.097826087,1
"A0A1D6DVK7",0.512837539,0.22310757,0,0.059760956,0.44,-0.343,0.564341,0.062416999,1
"A0A1D6DW35",0.457834758,0.215811966,0,0.094017094,3.75,-0.236,0.630075,0.085470085,1
"A0A1D6DX46",0.450649189,0.201123596,0.043820225,0.073033708,3.33,0.24,0.973463,0.12247191,1
"A0A1D6E2V0",0.4459843,0.212862319,0.096014493,0.126811594,6.06,0.214,1.36208,0.093297101,1
"A0A1D6E923",0.489916963,0.195729537,0,0.170818505,0.06,-0.16,0.296995,0.096085409,1
"A0A1D6E9M8",0.483553792,0.248015873,0,0.021825397,-0.35,-0.285,0.35198,0.067460317,1
"A0A1D6ECI8",0.381216931,0.378306878,0.492063492,0.555555556,4.32,0.093,1.18548,0.044973545,1
"A0A1D6EFK8",0.481150404,0.175834971,0.197445972,0.192534381,6.55,0.31,0.50506,0.100196464,1
"A0A1D6EFY2",0.476697531,0.236111111,0.298611111,0.409722222,-2.08,-0.334,0.204406,0.055555556,1
"A0A1D6EHI0",0.468556999,0.245454545,0.075324675,0.051948052,1.21,-0.278,0.235574,0.087012987,1
"A0A1D6EHU0",0.421819402,0.211480363,0.32326284,0.341389728,3.43,0.439,0.540786,0.111782477,1
"A0A1D6ELQ4",0.461588818,0.262738854,0.00955414,0.060509554,0.62,-0.273,0.660623,0.092356688,1
"A0A1D6EN44",0.484571833,0.197452229,0,0,-0.06,-0.314,0.649825,0.095541401,1
"A0A1D6ENX1",0.442561205,0.089265537,0,0.240677966,3.44,1.112,0.540769,0.084745763,1
"A0A1D6ERI0",0.499081365,0.19816273,0,0.014435696,0.01,-0.192,0.318248,0.093175853,1
"A0A1D6ERI6",0.458438155,0.160377358,0,0.172169811,4.95,0.23,1.25383,0.091981132,1
"A0A1D6ETC9",0.37473414,0.405940594,1,0.323432343,0.15,-0.471,0.713059,0.118811881,1
"A0A1D6ETQ1",0.494883619,0.241106719,0,0.205533597,0.88,-0.348,0.214795,0.067193676,1
"A0A1D6EU55",0.420688889,0.142,0.43,0.434,9.13,0.258,2.14973,0.088,1
"A0A1D6EX30",0.399201964,0.134438306,0.160220994,0.329650092,3.64,0.664,0.828698,0.114180479,1
"A0A1D6F2G1",0.448642439,0.221804511,0.110902256,0.110902256,3.55,0.179,0.275775,0.080827068,1
"A0A1D6F8R6",0.503527981,0.21350365,0,0.180656934,0.01,-0.285,-0.0423252,0.082116788,1
"A0A1D6F9L1",0.419448698,0.211332312,0.058192956,0.081163859,6.85,0.141,1.51021,0.117917305,1
"A0A1D6FA03",0.441473228,0.194986072,0,0.038997214,2.76,-0.087,0.852711,0.119777159,1
"A0A1D6FEX0",0.434794885,0.2122571,0.152466368,0.100149477,6.35,0.301,1.2258,0.128550075,1
"A0A1D6FF90",0.384770115,0.362068966,0.577586207,0.137931034,0.56,-0.42,0.861843,0.074712644,1
"A0A1D6FJS8",0.469684499,0.265432099,0,0,0.48,-0.326,0.522277,0.080246914,1
"A0A1D6FL68",0.463648966,0.254318618,0.044145873,0.12571977,-0.22,-0.199,0.709923,0.10940499,1
"A0A1D6FMK3",0.450342633,0.18722467,0.050660793,0.088105727,2.2,0.336,0.942883,0.101321586,1
"A0A1D6FT87",0.408733974,0.221153846,0.117788462,0.420673077,1.11,0.359,-0.00527636,0.079326923,1
"A0A1D6FWM8",0.43065677,0.204453441,0.29757085,0.226720648,3.15,0.09,0.622594,0.13562753,1
