"UniproEntry","Hydropathy","FCR","IDR","LCR","Pscore","PLAAC","catGRANULE","PhosFreq","Score"
"A0A060CXU7",0.416701607,0.257861635,0.213836478,0.323899371,3.46,-0.081,0.609395,0.0220125786163522,1
"A0A060CYI1",0.450694444,0.1425,0.2075,0.4375,4.91,0.308,2.00423,0.01,1
"A0A077RQB4",0.409246886,0.1796585,0.293244246,0.292501856,13.88,0.789,2.50771,0.00742390497401633,1
"A0A077S1R6",0.422525473,0.220524017,0.060043668,0.055676856,5.48,0.419,1.13783,0.00109170305676856,1
"A0A096PQM6",0.429104104,0.1996997,0.042042042,0.100600601,3.47,0.125,1.37092,0.00900900900900901,1
"A0A096Q2M8",0.393254968,0.338790932,0.268261965,0.285894207,6.63,0.162,1.62043,0.0163727959697733,1
"A0A096QLU9",0.478001491,0.158836689,0.123042506,0.436241611,8.01,0.288,2.95401,0.0335570469798658,1
"A0A096RF51",0.454662545,0.217928903,0.145285935,0.238021638,9.67,0.243,2.11562,0.00309119010819165,1
"A0A096RIV3",0.410318747,0.361426256,0.356564019,0.157212318,0.48,-0.295,0.397981,0.00972447325769854,1
"A0A096RMF1",0.416030718,0.237580994,0.144708423,0.11663067,2.21,0.081,0.196957,0.0172786177105832,1
"A0A096RQJ0",0.473231497,0.220949264,0.055646481,0.327332242,13.16,0.223,2.79742,0.00327332242225859,1
"A0A096S452",0.407885746,0.362853629,0.467404674,0.180811808,1,-0.34,1.24305,0.00984009840098401,1
"A0A096S6K6",0.472540382,0.202643172,0.147577093,0.301762115,5.22,0.242,1.97532,0.0110132158590308,1
"A0A096SSY4",0.460637768,0.221973094,0.082959641,0.060538117,0.68,-0.204,0.542239,0.00672645739910314,1
"A0A096SVP6",0.439487439,0.159332322,0.098634294,0.273141123,3.23,0.335,0.458014,0.0515933232169954,1
"A0A096TDW4",0.426965066,0.124454148,0,0.370087336,4.59,0.538,1.55102,0.00655021834061135,1
"A0A096USR9",0.457343148,0.212933754,0.15615142,0.217665615,6.3,0.155,1.98915,0.00630914826498423,1
"A0A0B4J337",0.454781997,0.256329114,0,0,-0.01,-0.358,0.00173156,0.00316455696202532,1
"A0A0N7KCM4",0.489411206,0.181623932,0,0.025641026,1.16,-0.079,0.811301,0.00427350427350427,1
"A0A0N7KKC7",0.440839506,0.164444444,0.29037037,0.394074074,6.97,0.17,1.00499,0.00444444444444444,1
"A0A0N7KLG1",0.441132739,0.154501217,0,0.188564477,2.49,0.268,1.00238,0.00364963503649635,1
"A0A0N7KLN2",0.428092719,0.283446712,0.160997732,0,-0.1,-0.136,0.400905,0.0090702947845805,1
"A0A0N7KNQ0",0.420485476,0.185557587,0.413162706,0.201096892,3.33,0.409,1.18742,0.0137111517367459,1
"A0A0P0V197",0.45966811,0.246753247,0,0.100649351,0.87,-0.223,2.11598,0.00974025974025974,1
"A0A0P0V3J7",0.315346181,0.524625268,0.436830835,0.321199143,1.46,-0.555,0.977743,0.0149892933618844,1
"A0A0P0V8S3",0.398508576,0.261744966,0.791946309,0.489932886,10.11,0.148,3.32637,0.087248322147651,1
"A0A0P0VDQ1",0.415582249,0.309309309,0.144144144,0.156156156,0.44,-0.198,0.784086,0.03003003003003,1
"A0A0P0VDV3",0.421541394,0.299019608,0.176470588,0.272058824,6.4,0.21,1.25208,0.0220588235294118,1
"A0A0P0VDW6",0.415824916,0.16969697,1,0.178787879,3.95,0.075,1.02237,0.00606060606060606,1
"A0A0P0VFD5",0.477561254,0.246153846,0.049230769,0.153846154,0.42,-0.243,0.173613,0.00923076923076923,1
"A0A0P0VHP9",0.404040404,0.265412748,0,0.142110763,4.31,0.051,1.72707,0.00208986415882968,1
"A0A0P0VHV7",0.431066667,0.268,0,0.192,2.2,-0.188,-0.315274,0.044,1
"A0A0P0VIZ4",0.433445567,0.241161616,0.064393939,0.255050505,4.35,0.196,0.263638,0.00126262626262626,1
"A0A0P0VPQ7",0.440236928,0.308823529,0.136029412,0.113970588,0.93,-0.38,0.656081,0.0220588235294118,1
"A0A0P0VQR0",0.452583979,0.168604651,0.001453488,0.075581395,1.57,0.161,0.152132,0.0247093023255814,1
"A0A0P0VRC8",0.484478006,0.243797195,0.086299892,0.042071197,1.82,-0.211,0.259718,0.00323624595469256,1
"A0A0P0VRF7",0.511347518,0.216312057,0,0.407801418,0.65,-0.323,-1.01741,0.0638297872340425,1
"A0A0P0VRI0",0.439766082,0.271929825,0.49122807,0.140350877,NA,-0.434,1.08513,0.0087719298245614,1
"A0A0P0VRQ0",0.45704396,0.264797508,0,0.130841121,-0.36,-0.297,0.0319195,0.0280373831775701,1
"A0A0P0VTG7",0.435283831,0.226392252,0.360774818,0.032687651,1.56,-0.015,1.21667,0.00605326876513317,1
"A0A0P0VUJ4",0.447478552,0.173258004,0,0.517890772,3.07,0.18,0.489901,0.0150659133709981,1
"A0A0P0VYD4",0.477192982,0.236842105,0,0,0.31,-0.291,0.707571,0.0657894736842105,1
"A0A0P0W9C3",0.551416853,0.157718121,0,0.090604027,0.86,-0.397,-0.872575,0.0436241610738255,1
"A0A0P0WA00",0.478999106,0.225201072,0,0.27613941,2.07,0.033,-0.51148,0.0107238605898123,1
"A0A0P0WFW3",0.458619113,0.283950617,0,0.061728395,-0.45,-0.524,-0.0159434,0.0534979423868313,1
"A0A0P0WH74",0.423481117,0.221674877,0.044334975,0,-0.93,-0.26,0.0531719,0.0147783251231527,1
"A0A0P0WK98",0.496407686,0.161654135,0,0.255639098,0.75,-0.04,0.767489,0.0037593984962406,1
"A0A0P0WMY2",0.473784722,0.197916667,0,0.385416667,0.48,-0.247,0.522,0.00520833333333333,1
"A0A0P0WPC2",0.464114114,0.189189189,1,0,NA,-0.325,-0.516674,0.0540540540540541,1
"A0A0P0WQT3",0.391741351,0.297484822,0.267996531,0.069384215,2.54,0.113,1.62443,0.000867302688638335,1
"A0A0P0WRX8",0.384150327,0.328431373,0,0.102941176,-0.53,-0.343,0.935581,0.0294117647058824,1
"A0A0P0WUJ7",0.509281843,0.219512195,0.06097561,0.335365854,-1.51,-0.316,-0.479593,0.0121951219512195,1
"A0A0P0WXA2",0.402300939,0.24386921,0.392370572,0.077656676,2.63,0.048,0.973871,0.00136239782016349,1
"A0A0P0WXQ4",0.455769642,0.260115607,0.204238921,0.283236994,2.15,-0.183,1.70856,0.00385356454720617,1
"A0A0P0WYM2",0.422321429,0.25,0.071428571,0,NA,-0.368,0.837764,0.0178571428571429,1
"A0A0P0WZF6",0.359065854,0.368146214,1,0.590078329,7.85,-0.04,3.26657,0.0182767624020888,1
"A0A0P0X0F2",0.436841139,0.178512397,0.282644628,0.152066116,3.89,0.14,0.845687,0.00165289256198347,1
"A0A0P0X1C3",0.452573529,0.1875,0.242647059,0.220588235,2.89,-0.01,-0.0419985,0.0110294117647059,1
"A0A0P0X2K2",0.430702862,0.274621212,0.058712121,0.178030303,1.52,-0.081,0.493004,0.0227272727272727,1
"A0A0P0X7K6",0.428100026,0.218097448,0.218097448,0.143851508,2.33,0.02,0.826803,0.0139211136890951,1
"A0A0P0XAR8",0.428176796,0.23572744,0.228360958,0.121546961,2.27,-0.095,0.978837,0.0110497237569061,1
