UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
Q6Z7V7,0.435 ,0.239 ,0.906 ,0.000 ,NA,-0.401 ,-0.143 ,0
A0A3Q7IUE8,0.493 ,0.163 ,0.738 ,0.000 ,NA,-0.458 ,-2.072 ,0
A0A7I4B4Y5,0.464 ,0.194 ,0.718 ,0.000 ,NA,-0.248 ,-0.699 ,0
A0A2K1JD04,0.526 ,0.204 ,0.000 ,0.099 ,-1.420 ,-0.503 ,-1.841 ,0
A0A3Q7GF82,0.503 ,0.212 ,0.283 ,0.000 ,NA,-0.529 ,-0.327 ,0
O82325,0.437 ,0.277 ,1.000 ,0.000 ,NA,-0.489 ,-0.971 ,0
A0A2K1IGF7,0.463 ,0.188 ,0.261 ,0.080 ,NA,-0.310 ,-0.152 ,0
A0A3B6LLR1,0.469 ,0.218 ,0.812 ,0.109 ,NA,-0.220 ,-1.345 ,0
Q6ZBX2,0.575 ,0.205 ,0.846 ,0.154 ,NA,-0.659 ,-1.312 ,0
A0A0P0VAL2,0.505 ,0.114 ,0.038 ,0.162 ,NA,-0.296 ,-0.991 ,0
A0A2K3CYY9,0.412 ,0.226 ,1.000 ,0.000 ,NA,-0.406 ,-0.546 ,0
A0A2K1JV56,0.531 ,0.172 ,1.000 ,0.000 ,NA,NA,-1.029 ,0
A9RJN0,0.448 ,0.293 ,0.033 ,0.252 ,NA,-0.348 ,-0.958 ,0
A0A0P0XHH3,0.502 ,0.147 ,0.917 ,0.275 ,NA,-0.240 ,0.104 ,0
A0A8D9DEQ3,0.438 ,0.265 ,0.637 ,0.195 ,NA,-0.305 ,-0.368 ,0
A0A0P0YA93,0.482 ,0.112 ,0.966 ,0.371 ,NA,-0.182 ,-2.182 ,0
Q52K95,0.493 ,0.215 ,0.794 ,0.000 ,NA,-0.371 ,-1.000 ,0
A0A804NNX8,0.468 ,0.175 ,0.689 ,0.204 ,NA,-0.340 ,-1.067 ,0
A0A3P5ZVN9,0.444 ,0.230 ,1.000 ,0.000 ,NA,-0.357 ,-0.623 ,0
A0A0P0V358,0.529 ,0.159 ,0.667 ,0.000 ,NA,-0.409 ,-0.882 ,0
A0A3Q7F9Q9,0.568 ,0.213 ,1.000 ,0.277 ,NA,NA,-3.085 ,0
A0A2K1JR90,0.476 ,0.209 ,0.000 ,0.055 ,NA,-0.433 ,-1.336 ,0
A0A0P0WU84,0.538 ,0.123 ,0.000 ,0.000 ,NA,-0.446 ,-0.696 ,0
A0A2K1IAR5,0.428 ,0.299 ,1.000 ,0.449 ,NA,-0.425 ,-1.363 ,0
A0A1P8B502,0.484 ,0.248 ,0.000 ,0.000 ,-0.110 ,-0.361 ,-1.611 ,0
A0A3Q7HAT1,0.496 ,0.209 ,0.000 ,0.000 ,NA,-0.422 ,-0.615 ,0
A0A2K1IUG9,0.482 ,0.177 ,0.000 ,0.092 ,NA,-0.301 ,-1.047 ,0
Q10PT0,0.448 ,0.213 ,0.954 ,0.324 ,NA,-0.187 ,-1.274 ,0
Q9LDS7,0.469 ,0.208 ,0.972 ,0.000 ,NA,-0.501 ,-1.653 ,0
A0A0N7KRJ3,0.438 ,0.218 ,1.000 ,0.000 ,NA,-0.403 ,-1.097 ,0
A0A2K1KVY9,0.450 ,0.222 ,1.000 ,0.000 ,NA,NA,0.272 ,0
B9G9E7,0.499 ,0.216 ,1.000 ,0.000 ,NA,-0.364 ,-1.544 ,0
A0A8D9HHA7,0.353 ,0.250 ,1.000 ,0.000 ,NA,-0.314 ,-0.287 ,0
A0A8D9CSK7,0.434 ,0.237 ,0.720 ,0.000 ,NA,-0.311 ,-0.774 ,0
A0A8D9CPS7,0.450 ,0.190 ,1.000 ,0.000 ,NA,-0.371 ,-1.013 ,0
A0A0N7KGG3,0.455 ,0.175 ,1.000 ,0.680 ,NA,-0.041 ,0.428 ,0
Q3EAE6,0.498 ,0.254 ,0.000 ,0.000 ,NA,-0.517 ,-0.763 ,0
A0A2K1KXF9,0.565 ,0.142 ,0.132 ,0.000 ,NA,-0.628 ,-2.040 ,0
A0A2K1KXP0,0.467 ,0.194 ,1.000 ,0.000 ,NA,-0.484 ,-2.448 ,0
Q10N24,0.448 ,0.264 ,0.792 ,0.232 ,NA,-0.523 ,-0.362 ,0
A0A0P0Y069,0.421 ,0.314 ,1.000 ,0.000 ,NA,-0.420 ,0.705 ,0
A0A8D9I1C5,0.511 ,0.105 ,0.594 ,0.301 ,NA,-0.183 ,-1.545 ,0
A0A0P0X1U3,0.464 ,0.232 ,1.000 ,0.000 ,NA,-0.429 ,0.202 ,0
A0A3Q7F084,0.547 ,0.183 ,0.165 ,0.000 ,NA,-0.527 ,-1.107 ,0
A0A3B5Y0K2,0.473 ,0.165 ,0.969 ,0.189 ,NA,-0.212 ,-0.708 ,0
A0A3B6FTZ5,0.487 ,0.230 ,0.000 ,0.000 ,NA,-0.367 ,-0.375 ,0
A0A2K1K9S9,0.535 ,0.125 ,0.013 ,0.150 ,NA,-0.454 ,-1.861 ,0
A0A1D6N3D8,0.533 ,0.123 ,0.000 ,0.198 ,NA,-0.342 ,-1.226 ,0
A0A0P0WE69,0.521 ,0.187 ,0.374 ,0.000 ,NA,-0.388 ,-0.885 ,0
A0A0P0WXT1,0.461 ,0.195 ,0.135 ,0.143 ,NA,-0.207 ,-0.600 ,0
A0A3Q7EXW1,0.477 ,0.235 ,1.000 ,0.000 ,NA,NA,-0.588 ,0
B9EVT4,0.518 ,0.182 ,0.000 ,0.000 ,NA,-0.331 ,-1.593 ,0
A0A3Q7IJT7,0.492 ,0.179 ,0.000 ,0.000 ,NA,-0.315 ,-0.822 ,0
A0A3Q7EQ30,0.515 ,0.238 ,0.390 ,0.457 ,NA,-0.334 ,-0.535 ,0
A0A3B6RGM6,0.549 ,0.157 ,0.000 ,0.459 ,-0.200 ,-0.341 ,-1.892 ,0
A0A2K1JLC5,0.480 ,0.185 ,1.000 ,0.000 ,NA,NA,-1.092 ,0
A0A1D6MXH4,0.572 ,0.155 ,0.083 ,0.190 ,NA,-0.516 ,-2.142 ,0
