UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A024FLK4,0.455955023,0.247669774,0.139813582,0.137150466,2.84,-0.058,0.717519,0
A0A075DNI2,0.505261091,0.197879859,0.09540636,0.173144876,-0.5,-0.237,0.491028,0
A0A0N7KC65,0.455715045,0.255980861,0,0.066985646,1,-0.203,0.0624015,0
A0A0N7KC67,0.497390794,0.213720317,0.002638522,0.034300792,0.18,-0.266,0.558885,0
A0A0N7KC71,0.54510101,0.172727273,0,0.286363636,-0.91,-0.381,-1.38152,0
A0A0N7KC80,0.498032407,0.208333333,0.020833333,0,,-0.419,-1.82423,0
A0A0N7KC93,0.395353535,0.327272727,0.436363636,0.284848485,1.15,-0.288,1.43932,0
A0A0N7KC94,0.386783626,0.305263158,0.178947368,0.242105263,-1.29,-0.419,0.0786879,0
A0A0N7KC98,0.451715686,0.205882353,0.272058824,0,,-0.323,-0.225054,0
A0A0N7KC99,0.497581461,0.160291439,0,0.087431694,0.73,-0.123,0.832031,0
A0A0N7KCA2,0.513467262,0.185267857,0,0,-1.47,-0.338,-0.471817,0
A0A0N7KCA6,0.409506173,0.35,0.783333333,0.255555556,-0.15,-0.466,-0.359413,0
A0A0N7KCA7,0.36809681,0.297029703,1,0.445544554,,-0.296,-0.377121,0
A0A0N7KCA8,0.462013889,0.225,0.15,0.175,1.55,-0.36,0.326726,0
A0A0N7KCB4,0.507901235,0.166666667,0.877777778,0.244444444,,-0.338,-0.838189,0
A0A0N7KCB5,0.462790698,0.209302326,0.620155039,0.372093023,,-0.177,2.36462,0
A0A0N7KCB8,0.418908382,0.298245614,0.584795322,0.292397661,1.69,-0.329,0.34133,0
A0A0N7KCB9,0.376748177,0.362934363,0.335907336,0.092664093,1.48,-0.474,0.737955,0
A0A0N7KCC3,0.529678363,0.118421053,1,0.328947368,,-0.315,-1.22496,0
A0A0N7KCC7,0.466604245,0.213483146,0,0,0.18,-0.369,-0.20256,0
A0A0N7KCD0,0.435781544,0.322033898,0,0.301694915,0.1,-0.415,1.56214,0
A0A0N7KCD8,0.511950904,0.140503876,0,0.113372093,0.29,-0.017,0.784315,0
A0A0N7KCE3,0.50462963,0.154761905,1,0.476190476,,-0.343,-0.119853,0
A0A0N7KCE4,0.461664262,0.216450216,0,0,1.7,0.01,0.442332,0
A0A0N7KCE7,0.462451267,0.276315789,0.052631579,0.388157895,1.34,-0.308,0.494573,0
A0A0N7KCE8,0.493769739,0.237726098,0,0,0.82,-0.337,0.123349,0
A0A0N7KCF2,0.481619938,0.196261682,0,0.177570093,,-0.375,-1.29627,0
A0A0N7KCF5,0.447333333,0.2,0.78,0.186666667,-0.98,-0.191,-0.472226,0
A0A0N7KCF9,0.482603026,0.183098592,0.063380282,0.042253521,0.92,-0.078,0.201727,0
A0A0N7KCG2,0.52478185,0.141361257,0,0.403141361,-0.14,-0.276,-0.734116,0
A0A0N7KCG4,0.438395062,0.277777778,0.977777778,0,,-0.538,-1.94038,0
A0A0N7KCG6,0.474807988,0.119815668,0,0.373271889,1.04,-0.119,-0.768878,0
A0A0N7KCG9,0.544844444,0.164,0,0.316,0.3,-0.29,-0.777437,0
A0A0N7KCH0,0.514675052,0.132075472,1,0,,,-2.26478,0
A0A0N7KCI2,0.505220884,0.120481928,1,0.156626506,,-0.244,-2.76043,0
A0A0N7KCI3,0.491127695,0.171641791,0.820895522,0.21641791,,-0.101,-0.545294,0
A0A0N7KCI7,0.429172029,0.281853282,0,0.67953668,2.38,-0.275,1.40359,0
A0A0N7KCJ3,0.396465534,0.323374341,0.042179262,0.411247803,2.44,-0.13,1.67749,0
A0A0N7KCJ6,0.389164941,0.254658385,0.925465839,0.341614907,1.28,-0.103,0.0104547,0
A0A0N7KCJ7,0.364792503,0.325301205,1,0.234939759,2.32,-0.157,0.307319,0
A0A0N7KCK6,0.482638889,0.25,1,0,,,-1.6227,0
A0A0N7KCL6,0.543183609,0.14893617,0,0.283687943,-0.55,-0.259,-1.39587,0
A0A0N7KCM0,0.457826087,0.245652174,0,0.054347826,0.91,-0.216,0.47203,0
A0A0N7KCM1,0.451995221,0.225806452,0.004301075,0.141935484,0.89,-0.224,0.381433,0
A0A0N7KCM6,0.425525526,0.279279279,0.954954955,0.081081081,,-0.391,-0.420508,0
A0A0N7KCM9,0.461700337,0.272727273,0.189393939,0.174242424,0.64,-0.364,-0.00125783,0
A0A0N7KCN3,0.461321455,0.224944321,0.002227171,0.057906459,0.62,-0.24,0.126796,0
A0A0N7KCN4,0.402777778,0.304347826,1,0,,-0.533,-0.344858,0
A0A0N7KCN9,0.45290404,0.238636364,1,0.477272727,,-0.295,-0.18397,0
A0A0N7KCP4,0.451021242,0.202205882,0.319852941,0.323529412,3.39,-0.104,1.74378,0
A0A0N7KCP8,0.467413632,0.260504202,0.764705882,0.25210084,,-0.546,-2.01434,0
A0A0N7KCQ0,0.504582549,0.169491525,0,0.587570621,0.57,-0.269,0.279614,0
A0A0N7KCR4,0.464126016,0.195121951,0,0,0.83,-0.256,-0.0961996,0
A0A0N7KCS4,0.423391813,0.254385965,1,0.596491228,,-0.402,-0.597535,0
A0A0N7KCS8,0.395918367,0.336734694,1,0.316326531,,-0.397,-0.176831,0
A0A0N7KCT1,0.563326071,0.104575163,0,0.173202614,0.02,-0.245,-0.899741,0
A0A0N7KCT2,0.454498715,0.285347044,0.096401028,0.429305913,1.52,-0.266,2.05508,0
A0A0N7KCT5,0.456924697,0.17535545,0,0.047393365,1.8,-0.047,-0.502201,0
A0A0N7KCT8,0.482042649,0.151515152,1,0.121212121,,-0.302,-2.39261,0
A0A0N7KCU0,0.455979644,0.282442748,0,0.221374046,0.48,-0.394,0.365032,0
A0A0N7KCU1,0.491285403,0.156862745,1,0,,,-2.2828,0
A0A0N7KCU2,0.490563166,0.191780822,0.061643836,0.260273973,0.42,-0.208,-0.500094,0
A0A0N7KCV0,0.424733208,0.299435028,0.18079096,0.163841808,-0.09,-0.422,-0.0810566,0
A0A0N7KCV1,0.432905983,0.230769231,1,0.371794872,,-0.302,0.596359,0
A0A0N7KCW0,0.487979798,0.081818182,1,0.554545455,,-0.081,-1.27717,0
A0A0N7KCW2,0.480653595,0.188235294,1,0,,-0.377,-0.2984,0
A0A0N7KCW7,0.453625054,0.158301158,0.181467181,0.115830116,2.03,0.13,0.865322,0
A0A0N7KCW8,0.483310088,0.213389121,0,0.052301255,1.6,-0.098,0.698929,0
A0A0N7KCX1,0.528084869,0.185929648,0,0.190954774,-0.86,-0.375,-1.15792,0
A0A0N7KCX2,0.471007451,0.192419825,0,0,0.8,-0.159,0.764826,0
A0A0N7KCX6,0.46971917,0.120879121,1,0.098901099,,-0.151,-1.30881,0
A0A0N7KCX7,0.468079096,0.194915254,0.686440678,0.389830508,,-0.224,0.731028,0
A0A0N7KCX9,0.487540984,0.22295082,0,0.229508197,2.17,-0.168,0.880106,0
A0A0N7KCY0,0.466932483,0.244019139,0.073365231,0.027113238,1.07,-0.153,0.612335,0
A0A0N7KCY3,0.425617284,0.194444444,1,0.361111111,,-0.106,1.07286,0
A0A0N7KCY5,0.451895425,0.2,1,0.211764706,,-0.207,0.0894203,0
A0A0N7KCY6,0.520780322,0.190839695,0,0.076335878,,-0.434,-1.4887,0
A0A0N7KCY8,0.552,0.09,0.76,0.49,,-0.367,-2.39785,0
A0A0N7KCZ3,0.501409619,0.156716418,0,0,,-0.399,-1.95836,0
A0A0N7KCZ9,0.499134199,0.194805195,0.584415584,0,,-0.396,-1.88454,0
A0A0N7KD08,0.486539227,0.172043011,0,0.107526882,1.4,-0.242,-0.455956,0
A0A0N7KD15,0.598412698,0.130952381,0,0,,-0.604,-2.47776,0
A0A0N7KD23,0.514884696,0.188679245,0.091644205,0.245283019,0.15,-0.293,-0.581265,0
A0A0N7KD24,0.449215317,0.299435028,0.002824859,0.048022599,0.37,-0.348,0.758358,0
A0A0N7KD26,0.440187793,0.273239437,0.073239437,0.033802817,-0.85,-0.288,0.221476,0
A0A0N7KD28,0.446984127,0.234285714,0.434285714,0.16,0.01,-0.204,0.57215,0
A0A0N7KD33,0.466466466,0.252252252,0.981981982,0.351351351,,-0.359,2.26058,0
A0A0N7KD36,0.47164751,0.24137931,0,0.097701149,0.83,-0.409,-0.251435,0
A0A0N7KD37,0.461392405,0.246835443,0.113924051,0.075949367,-0.26,-0.342,-0.642049,0
A0A0N7KD41,0.457146776,0.249382716,0,0.081481481,-0.15,-0.251,-0.115606,0
A0A0N7KD42,0.429236499,0.273743017,0.206703911,0.223463687,3.24,-0.156,0.977972,0
A0A0N7KD45,0.370774411,0.387878788,1,0.048484848,0.89,-0.358,0.595199,0
A0A0N7KD48,0.53622076,0.128289474,0,0.345394737,3.29,-0.035,0.79178,0
A0A0N7KD49,0.404804805,0.301158301,0.212355212,0.164092664,5.5,-0.06,1.40554,0
A0A0N7KD56,0.53647587,0.171717172,0.323232323,0.222222222,,-0.451,-2.20811,0
A0A0N7KD57,0.476388889,0.1875,0.75,0.196428571,,-0.244,-2.09623,0
A0A0N7KD61,0.469424169,0.226277372,0.189781022,0.437956204,,-0.206,1.27934,0
A0A0N7KD62,0.481100727,0.205607477,0.971962617,0.186915888,,-0.285,-0.942703,0
A0A0N7KD68,0.402037037,0.233333333,1,0,,-0.46,-0.496582,0
A0A0N7KD70,0.461780105,0.277486911,0.041884817,0.057591623,-0.38,-0.397,0.155987,0
A0A0N7KD71,0.421891165,0.156424581,0.173184358,0.472998138,4.45,0.206,1.12311,0
A0A0N7KD74,0.384661836,0.282608696,1,0.663043478,,-0.325,2.79817,0
A0A0N7KD76,0.463294423,0.241245136,0.225680934,0.159533074,-0.21,-0.34,-0.309541,0
A0A0N7KD78,0.481424936,0.244274809,0,0,-0.1,-0.378,-0.0841113,0
A0A0N7KD81,0.484832451,0.25170068,0,0.095238095,-1.05,-0.383,-0.155955,0
A0A0N7KD83,0.474053724,0.148351648,0.065934066,0.384615385,6.82,-0.13,2.79978,0
A0A0N7KD84,0.50566642,0.179600887,0.002217295,0.141906874,1.98,-0.254,-0.268375,0
A0A0N7KD91,0.409565857,0.278145695,0.701986755,0.158940397,1.2,-0.303,0.853022,0
A0A0N7KD92,0.449851456,0.20855615,0.069518717,0.272727273,-0.52,-0.224,-0.857236,0
A0A0N7KD93,0.519382716,0.155555556,0.977777778,0,,-0.386,-2.1539,0
A0A0N7KD94,0.485760518,0.203883495,0.990291262,0,,-0.398,-1.27533,0
A0A0N7KD97,0.446044444,0.304,0.848,0.24,,-0.525,-0.114234,0
A0A0N7KDA2,0.43427896,0.287234043,1,0.340425532,,-0.527,1.78199,0
A0A0N7KDA4,0.486531987,0.272727273,0.242424242,0.060606061,,-0.58,-1.14399,0
A0A0N7KDA5,0.452641166,0.158469945,0.584699454,0.344262295,1.32,-0.192,-0.965165,0
A0A0N7KDA6,0.563533835,0.101503759,0,0.142857143,0.26,-0.248,0.502332,0
A0A0N7KDB1,0.411764706,0.266968326,0.470588235,0.334841629,2.48,-0.003,-0.0527309,0
A0A0N7KDB2,0.525315006,0.195876289,0.195876289,0,,-0.509,-1.15575,0
A0A0N7KDB6,0.538462933,0.176182708,0,0.218597064,1.01,-0.288,0.577132,0
A0A0N7KDC1,0.466447368,0.171052632,0,0,-0.55,-0.144,-1.20936,0
A0A0N7KDC6,0.533186166,0.178807947,0,0.298013245,-0.94,-0.363,-1.2267,0
A0A0N7KDD1,0.377686703,0.327868852,0.786885246,0.786885246,,-0.24,1.51423,0
A0A0N7KDD3,0.449256343,0.251968504,0.401574803,0.472440945,,-0.262,-0.55521,0
A0A0N7KDD6,0.407371395,0.303664921,0.029917726,0.187733732,3.37,-0.26,1.25234,0
A0A0N7KDD9,0.389536138,0.330097087,1,0.40776699,,-0.365,1.99717,0
A0A0N7KDE4,0.426315789,0.242105263,0.8,0,,-0.362,-0.830871,0
A0A0N7KDE7,0.433012821,0.298076923,0.038461538,0,,-0.484,-0.691546,0
A0A0N7KDF2,0.434793187,0.262773723,0.824817518,0.291970803,,-0.324,0.939665,0
A0A0N7KDF5,0.496141975,0.194444444,1,0,,-0.319,-0.858804,0
A0A0N7KDF6,0.516206443,0.192307692,0,0.029585799,0.37,-0.299,-0.0150286,0
A0A0N7KDF7,0.549162861,0.157534247,0,0.04109589,-0.46,-0.297,-0.354594,0
A0A0N7KDF9,0.406612621,0.326180258,0,0.021459227,-1.39,-0.344,0.287749,0
A0A0N7KDG0,0.45784082,0.230496454,0,0.40070922,0.43,-0.19,1.17321,0
A0A0N7KDG6,0.473829201,0.20661157,0.52892562,0.099173554,,-0.256,-1.27335,0
A0A0N7KDH1,0.465240957,0.20466596,0,0.031813362,0.67,-0.18,0.687756,0
A0A0N7KDH2,0.34478458,0.397959184,1,0.795918367,,-0.292,2.01527,0
A0A0N7KDH3,0.4831893,0.225925926,0,0.185185185,0.17,-0.286,-0.443312,0
A0A0N7KDH5,0.425937183,0.209726444,0.009118541,0.595744681,3.21,-0.026,0.303676,0
A0A0N7KDH6,0.512698413,0.153846154,0.076923077,0,,-0.4,-1.15002,0
A0A0N7KDI0,0.531058618,0.204724409,0,0.11023622,,-0.52,-1.68144,0
A0A0N7KDI4,0.411026616,0.292775665,0,0.368821293,-0.39,-0.3,0.727288,0
A0A0N7KDI7,0.452469136,0.242063492,0.031746032,0.5,1.29,-0.111,1.67362,0
A0A0N7KDI8,0.451207729,0.108695652,1,0,,,-1.75918,0
A0A0N7KDJ1,0.515902141,0.183486239,0.467889908,0.339449541,,-0.369,-0.922104,0
A0A0N7KDJ3,0.445193508,0.213483146,1,0.382022472,,-0.308,1.02815,0
A0A0N7KDK0,0.499842396,0.191489362,0,0.063829787,-1.19,-0.307,-0.993441,0
A0A0N7KDK4,0.528773282,0.271676301,0,0.225433526,-0.66,-0.586,-1.25595,0
A0A0N7KDK5,0.467246765,0.253012048,0,0.136546185,0.47,-0.425,0.629928,0
A0A0N7KDK7,0.482837767,0.223004695,0,0.03286385,1.04,-0.295,0.534627,0
A0A0N7KDK8,0.441441441,0.18018018,0.324324324,0,,-0.211,-0.179821,0
A0A0N7KDL7,0.51021021,0.148648649,0.148648649,0,,-0.263,-0.874192,0
A0A0N7KDM0,0.523323323,0.184684685,0,0.054054054,0.03,-0.379,0.0494965,0
A0A0N7KDM2,0.445657945,0.269624573,0,0,0.68,-0.286,1.08923,0
A0A0N7KDM6,0.520164609,0.148148148,0,0.414814815,,-0.352,-0.457965,0
A0A0N7KDM7,0.475338753,0.12195122,1,0.182926829,,-0.218,-0.748703,0
A0A0N7KDN1,0.454480287,0.161290323,0,0,,-0.288,-1.67056,0
A0A0N7KDN2,0.459697567,0.177514793,0,0.076923077,0.4,-0.151,-0.313363,0
A0A0N7KDN8,0.429984779,0.294520548,0.691780822,0.136986301,0.27,-0.179,0.254425,0
A0A0N7KDQ0,0.394444444,0.207317073,1,0.158536585,,-0.144,-1.03301,0
A0A0N7KDQ1,0.476448243,0.264957265,0,0,-1.52,-0.498,0.0956768,0
A0A0N7KDQ5,0.47630854,0.194214876,0.169421488,0.392561983,1.31,-0.26,-0.174495,0
A0A0N7KDR6,0.52896628,0.124378109,0,0.293532338,-0.17,-0.176,-0.967321,0
A0A0N7KDS1,0.474334898,0.253521127,1,0.436619718,,-0.471,-1.51186,0
A0A0N7KDS3,0.410075667,0.35125448,1,0.193548387,1.26,-0.428,-0.107732,0
A0A0N7KDS6,0.463390313,0.153846154,0,0,-0.05,-0.169,-0.881282,0
A0A0N7KDS7,0.527034121,0.149606299,0,0,,-0.499,-2.37652,0
A0A0N7KDT0,0.537208505,0.132716049,0,0.339506173,0.22,-0.165,-0.318983,0
A0A0N7KDT4,0.567195767,0.117216117,0,0.216117216,0.47,-0.242,0.0190962,0
A0A0N7KDT5,0.487037037,0.169871795,0,0.076923077,1.15,0.078,1.02456,0
A0A0N7KDT8,0.504331894,0.141342756,0,0.060070671,2.34,-0.034,1.08324,0
A0A0N7KDU5,0.519949495,0.166666667,0,0.151515152,,-0.353,-1.19504,0
A0A0N7KDU6,0.534299517,0.153846154,0,0.110367893,1.28,-0.146,-0.510255,0
A0A0N7KDV1,0.430069444,0.275,0.625,0.4375,-0.2,-0.257,-0.351915,0
A0A0N7KDW7,0.458262108,0.243589744,1,0.179487179,,-0.463,-0.624832,0
A0A0N7KDX4,0.456993464,0.261764706,0.135294118,0.052941176,2.16,-0.18,0.910473,0
A0A0N7KDX8,0.416768417,0.245421245,0.087912088,0.106227106,0.63,-0.302,0.594415,0
A0A0N7KDY1,0.482644893,0.213256484,0.170028818,0.305475504,2.24,-0.069,-0.0136401,0
A0A0N7KDY2,0.548554033,0.164383562,0.205479452,0,,-0.468,-1.3595,0
A0A0N7KDY5,0.4721598,0.112359551,0.516853933,0.376404494,1.99,-0.238,-0.822997,0
A0A0N7KDZ2,0.448015873,0.151785714,0.535714286,0,,-0.222,-0.632068,0
A0A0N7KDZ5,0.410392157,0.311764706,0.094117647,0,0.64,-0.337,0.397785,0
A0A0N7KDZ7,0.378648233,0.341013825,1,0.511520737,0.5,-0.152,0.785376,0
A0A0N7KE08,0.427692308,0.2,1,0,,-0.218,-0.0974901,0
A0A0N7KE12,0.475287356,0.262931034,0,0.120689655,0.2,-0.34,-0.986923,0
A0A0N7KE14,0.54562963,0.133333333,0.226666667,0.28,,-0.432,-2.17146,0
A0A0N7KE15,0.407899306,0.296875,0.6484375,0.640625,,-0.282,1.36983,0
A0A0N7KE20,0.407736944,0.305609284,0.061895551,0.402321083,0.92,-0.313,0.914214,0
A0A0N7KE27,0.473154362,0.231543624,0.087248322,0.218120805,2.02,-0.284,0.686122,0
A0A0N7KE30,0.523550725,0.217391304,0,0.130434783,,-0.54,-1.42635,0
A0A0N7KE32,0.402910053,0.301587302,0.873015873,0.23015873,,-0.322,0.445484,0
A0A0N7KE40,0.496999189,0.182481752,0.175182482,0.394160584,,-0.348,0.66634,0
A0A0N7KE42,0.526143791,0.153846154,0,0.158371041,0.31,-0.201,-0.4036,0
A0A0N7KE47,0.463973064,0.222222222,1,0,,-0.374,-0.274076,0
