UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A067XNA3,0.452061495,0.245283019,0,0,0.34,-0.258,0.220954,1
A0A067XNH1,0.472936508,0.228571429,0,0.067857143,-0.91,-0.301,0.0503132,1
A0A0I9QPN3,0.410295617,0.21559633,0.201834862,0.068807339,3.41,0.347,1.27057,1
A0A0I9QQM2,0.408715596,0.211009174,0.233944954,0.220183486,5.08,0.475,1.43094,1
A0A0I9RJ58,0.409836901,0.211009174,0.224770642,0.247706422,4.86,0.441,1.35359,1
A0A0K2BMT1,0.446085409,0.239323843,0.056049822,0.086298932,3.39,0.149,1.34235,1
A0A2K1I9Q0,0.524651163,0.120930233,0,0.218604651,0.08,-0.21,-1.27061,1
A0A2K1I9Z0,0.455870445,0.210526316,0.437246964,0.388663968,3.27,-0.163,2.50821,1
A0A2K1IA76,0.460326671,0.230174081,0,0.023210832,0.63,-0.194,0.469841,1
A0A2K1IA77,0.462507759,0.181564246,0,0.131284916,0.91,-0.129,-0.689667,1
A0A2K1IAA8,0.488902998,0.197460317,0,0.102857143,3.6,-0.053,1.34612,1
A0A2K1IAB2,0.47753268,0.25,0.001838235,0.034926471,0.61,-0.356,0.109252,1
A0A2K1IAG6,0.444444444,0.195652174,0,0.099033816,3.28,0.087,-0.0530086,1
A0A2K1IAP2,0.47132515,0.252124646,0.127478754,0.07082153,-0.68,-0.358,0.362076,1
A0A2K1IB27,0.48022792,0.230769231,0,0.097435897,-0.47,-0.445,0.295443,1
A0A2K1IB34,0.394197165,0.324925816,0.725519288,0.112759644,3.55,-0.108,0.938636,1
A0A2K1IB66,0.436024058,0.245726496,0.027777778,0.115384615,5.62,0.255,2.23606,1
A0A2K1IB77,0.433262731,0.204924543,0.166799047,0.076250993,6.12,0.153,1.94369,1
A0A2K1IB78,0.502121453,0.181384248,0,0.169451074,3.48,0.06,0.890642,1
A0A2K1IB85,0.433868093,0.20855615,0.251336898,0.155080214,0.55,-0.157,-0.565125,1
A0A2K1IBA6,0.444998023,0.179715302,0.076512456,0.220640569,3.7,0.203,1.08593,1
A0A2K1IBK0,0.438543328,0.267942584,0.153110048,0.267942584,2.51,-0.111,0.235884,1
A0A2K1IBK3,0.386539752,0.243272927,0.889071938,0.327292696,7.4,0.17,4.10796,1
A0A2K1IBM8,0.555733333,0.176,0,0,,-0.409,-1.08201,1
A0A2K1IBN3,0.432543003,0.164574616,0.057182706,0.142259414,4.1,0.173,0.964005,1
A0A2K1IBQ6,0.447172996,0.174683544,0.002531646,0.220253165,3.31,0.15,0.586705,1
A0A2K1IBU6,0.430966184,0.173913043,0.108695652,0.269565217,1.59,0.354,-0.609411,1
A0A2K1IBU7,0.419212963,0.210648148,0.273148148,0.414351852,12.83,0.314,4.96557,1
A0A2K1IBV3,0.475454375,0.23608769,0,0.107925801,0.12,-0.207,0.779055,1
A0A2K1IBW7,0.431306667,0.2048,0.088,0.1072,2.66,0.061,1.06159,1
A0A2K1IC53,0.427299485,0.182119205,0.122516556,0.231788079,3.01,0.244,1.39165,1
A0A2K1IC71,0.46473029,0.18620332,0.031120332,0.162863071,5.66,0.25,1.55636,1
A0A2K1ICC3,0.510285518,0.2249742,0,0.061919505,-0.12,-0.346,0.592716,1
A0A2K1ICH1,0.416814635,0.217917676,0.254237288,0.380145278,12.63,0.312,4.44464,1
A0A2K1ICH6,0.420565908,0.233954451,0.204968944,0.341614907,8.4,0.148,1.55058,1
A0A2K1ICH8,0.425598033,0.23138833,0.338028169,0.331991952,9.25,0.148,1.5068,1
A0A2K1ICQ5,0.449025974,0.25974026,0,0,-0.21,-0.305,0.384423,1
A0A2K1ICS7,0.475268817,0.201612903,0.935483871,0.10483871,,-0.148,2.28651,1
A0A2K1ICS8,0.452388752,0.137592138,0.125307125,0.199017199,2.97,0.125,2.03816,1
A0A2K1ICT3,0.49869061,0.225589226,0,0.215488215,-0.15,-0.367,0.816136,1
A0A2K1ICT4,0.455014869,0.133819951,0.119221411,0.163017032,2.68,0.13,1.93007,1
A0A2K1ID30,0.396604471,0.124810893,0,0.366868381,3.62,0.871,0.765186,1
A0A2K1ID87,0.429306632,0.236434109,0.058139535,0.031007752,2.92,-0.161,0.774873,1
A0A2K1ID97,0.462485066,0.211469534,0.172043011,0.150537634,-0.77,-0.127,0.585822,1
A0A2K1IDD0,0.361026164,0.339449541,0.226299694,0.275229358,5.34,-0.133,1.86636,1
A0A2K1IDJ0,0.454418454,0.239766082,0,0.070175439,0.51,-0.256,-0.359005,1
A0A2K1IDK2,0.468108854,0.086907449,0,0.23476298,2.55,0.719,0.647816,1
