UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A024DBP4,0.455897436,0.218461538,0,0.175384615,2.41,-0.268,0.571905,0
A0A060A663,0.484685565,0.203323558,0,0.173998045,2.44,-0.225,0.452362,0
A0A060AFB6,0.500137174,0.197530864,0.086419753,0.234567901,,-0.52,-1.10915,0
A0A077RA92,0.475243476,0.231476998,0,0.070702179,2.4,-0.252,0.541112,0
A0A077RAU1,0.451111111,0.262068966,0.124137931,0.296551724,1.65,-0.286,0.2491,0
A0A077RES0,0.453488372,0.23255814,1,0,,-0.198,-0.772488,0
A0A077RES4,0.462067562,0.238095238,0,0,3.1,-0.212,0.945644,0
A0A077REU1,0.537227414,0.135514019,0.205607477,0.214953271,0.17,-0.155,-0.609378,0
A0A077REY6,0.452787663,0.256227758,0,0.277580071,0.52,-0.326,0.110101,0
A0A077REZ6,0.450227179,0.260223048,0.178438662,0.063197026,0.03,-0.406,-0.823062,0
A0A077REZ9,0.5490904,0.161209068,0.080604534,0.128463476,1.01,-0.274,0.03798,0
A0A077RF03,0.469701832,0.21299639,0,0.036101083,2.75,-0.024,0.55124,0
A0A077RF08,0.575790754,0.164233577,0.178832117,0.142335766,0.41,-0.37,-0.334746,0
A0A077RF21,0.406775068,0.369337979,0.177700348,0.163763066,2.17,-0.355,0.274256,0
A0A077RF22,0.530466667,0.182,0,0.06,-0.67,-0.361,-0.340398,0
A0A077RF25,0.467263236,0.244966443,0.026845638,0,0.27,-0.252,-0.48696,0
A0A077RF68,0.450524396,0.302325581,0.143638851,0.138166895,0.34,-0.404,0.74016,0
A0A077RF92,0.566506101,0.138728324,0,0.130057803,0,-0.179,0.283698,0
A0A077RF93,0.502583979,0.178294574,0.457364341,0.100775194,,-0.359,-0.255568,0
A0A077RF97,0.453183521,0.228464419,0,0,0.58,-0.212,0.408338,0
A0A077RFB2,0.464156379,0.255555556,0.048148148,0.12962963,1.03,-0.37,-0.541651,0
A0A077RFB7,0.487729469,0.226086957,0.313043478,0.052173913,,-0.365,-0.208375,0
A0A077RFD2,0.451979967,0.245283019,0.002096436,0.168763103,2.09,-0.063,0.662991,0
A0A077RFF1,0.47384506,0.221748401,0,0.063965885,1.56,-0.294,0.476555,0
A0A077RFK2,0.474214976,0.195652174,0,0.179347826,0.38,-0.351,-0.273243,0
A0A077RFL7,0.480128205,0.225961538,0.091346154,0.240384615,-0.7,-0.195,0.15045,0
A0A077RHH8,0.397391599,0.335365854,0.31097561,0.161585366,0.86,-0.372,0.291359,0
A0A077RNU1,0.559359359,0.117117117,0,0.171171171,,-0.396,-1.43403,0
A0A077RNY6,0.502638889,0.2225,0,0.045,0.2,-0.272,0.636136,0
A0A077RNZ2,0.430290341,0.27638191,0.123115578,0.115577889,1.73,-0.367,0.401444,0
A0A077RP15,0.449907063,0.262081784,0,0.069702602,1.28,-0.284,1.18153,0
A0A077RP32,0.489959839,0.096385542,1,0.144578313,,-0.1,-1.44281,0
