UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A2K3CN33,0.427192231,0.203084833,0,0.524421594,10.14,0.364,4.12446,1
A0A2K3CNC6,0.432407407,0.233050847,1,0.761299435,4.82,-0.042,1.90645,1
A0A2K3CNK3,0.467129373,0.283176013,0.07995558,0.528595225,5.87,0.142,1.05499,1
A0A2K3CNP4,0.426696003,0.300330033,0.280528053,0.207920792,0.82,-0.241,0.194098,1
A0A2K3CNT7,0.477219265,0.166173862,0,0.410408043,4.36,1.091,0.825529,1
A0A2K3CNY6,0.432740741,0.266666667,0.222222222,0.22,1.83,-0.152,2.13735,1
A0A2K3CPC9,0.438609319,0.092903226,0.289677419,0.692903226,7.2,0.846,1.9636,1
A0A2K3CPE6,0.434592842,0.122334456,0.078563412,0.388327722,11.6,0.606,2.71015,1
A0A2K3CPP2,0.462240512,0.188477366,0.111111111,0.483127572,6.05,0.205,1.93709,1
A0A2K3CQ57,0.449038912,0.280590717,0.14978903,0.05907173,0.01,-0.307,1.05267,1
A0A2K3CQA0,0.423604894,0.21038496,0.234556849,0.589973142,10.53,0.419,3.06548,1
A0A2K3CQF3,0.373958333,0.254166667,0.810416667,0.683333333,9.89,0.347,3.44066,1
A0A2K3CQH3,0.430141093,0.093650794,0.346031746,0.647619048,5.36,0.612,1.12282,1
A0A2K3CQK5,0.45891126,0.152684564,0,0.494966443,10.05,0.58,3.69582,1
A0A2K3CQM5,0.486812764,0.093425606,0,0.611303345,2.55,0.411,1.33951,1
A0A2K3CQS9,0.501869761,0.214700193,0.053191489,0.248549323,1.45,-0.12,0.594513,1
A0A2K3CQV3,0.373151308,0.300341297,0.341296928,0.566552901,10.14,0.15,3.8497,1
A0A2K3CR91,0.42274695,0.182998819,0.232585596,0.449232586,3.84,0.626,1.15734,1
A0A2K3CRG3,0.398265583,0.32195122,0.219512195,0.224390244,-0.2,-0.397,0.510647,1
A0A2K3CRG5,0.463528199,0.072512648,0.038785835,0.541315346,2.77,0.828,0.373755,1
A0A2K3CRJ5,0.432035685,0.145985401,0.313868613,0.490875912,4.03,0.541,2.17432,1
A0A2K3CRS3,0.479921715,0.102481986,0.021617294,0.59327462,5.6,0.711,1.05424,1
A0A2K3CRV2,0.442403375,0.232830821,0.056393076,0.393634841,3.15,0.69,1.30953,1
A0A2K3CRV8,0.359176725,0.357938719,0.396935933,0.548746518,7.15,0.078,2.54822,1
A0A2K3CRY1,0.473721776,0.172946263,0.253242742,0.499691167,6.25,0.139,2.83964,1
A0A2K3CRZ3,0.457857143,0.164285714,0,0.328571429,1.82,0.456,0.568883,1
A0A2K3CS15,0.465780683,0.124183007,0.045751634,0.303267974,2.37,0.422,0.411719,1
A0A2K3CS42,0.449418978,0.11481976,0.072541166,0.724076547,7.1,0.837,2.27208,1
A0A2K3CS44,0.475136116,0.174228675,0,0.110707804,0.89,-0.203,1.04776,1
A0A2K3CSA6,0.470134415,0.163206872,0.293486042,0.707945598,7.43,0.202,0.995255,1
A0A2K3CSY9,0.455659722,0.14375,0,0.346875,15.07,0.524,4.66059,1
A0A2K3CSZ7,0.458451877,0.153402537,0.00922722,0.415224913,4.16,0.869,1.37826,1
A0A2K3CT13,0.48288967,0.131089905,0,0.399799096,4.28,0.209,1.54422,1
A0A2K3CT22,0.438435861,0.236051502,0.092989986,0.178826896,1.67,-0.068,0.757083,1
A0A2K3CT30,0.496945399,0.226804124,0,0.065292096,-1.12,-0.464,-0.415868,1
A0A2K3CTK0,0.46795225,0.297520661,0.123966942,0.107438017,,-0.519,-0.363072,1
A0A2K3CTK6,0.454624533,0.119877676,0.028746177,0.688073394,9,0.215,3.85819,1
A0A2K3CTK9,0.44392997,0.118866621,0.03593642,0.532826538,4.77,0.955,0.651491,1
A0A2K3CTL9,0.458231084,0.225460123,0.18404908,0.180981595,10.68,0.2,1.93807,1
A0A2K3CU41,0.479570653,0.140127389,0.101910828,0.430997877,6.56,0.21,1.67046,1
A0A2K3CU98,0.445564516,0.25672043,0.049731183,0.260752688,1.29,0.248,0.496614,1
A0A2K3CUX5,0.48012917,0.227990971,0.126410835,0.362302483,2.3,-0.07,0.681467,1
A0A2K3CV04,0.372222222,0.366071429,0.973214286,0.160714286,,-0.338,0.115933,1
A0A2K3CV27,0.453605592,0.212472406,0.072847682,0.170529801,5.45,0.249,1.14842,1
A0A2K3CV53,0.438180227,0.229133858,0.1,0.338582677,11.85,0.38,2.21955,1
A0A2K3CV60,0.501740295,0.207831325,0,0.162650602,-0.48,-0.262,0.536865,1
A0A2K3CV63,0.461355932,0.240677966,0.074576271,0.315254237,0.79,-0.18,0.40146,1
A0A2K3CV99,0.556245891,0.072485207,0,0.778106509,4.39,0.012,0.977188,1
A0A2K3CVE2,0.443060296,0.155290102,0.206484642,0.652730375,10.94,0.268,2.88078,1
A0A2K3CVN0,0.52040404,0.178181818,0,0,0.09,-0.25,0.601439,1
A0A2K3CVT2,0.476640502,0.12244898,0.142543171,0.528414443,8.1,0.32,2.13191,1
A0A2K3CVZ2,0.484948881,0.143229167,0.012152778,0.570746528,6.86,0.362,1.88016,1
A0A2K3CW83,0.461761603,0.147943038,0.046677215,0.509493671,13.24,0.677,3.49755,1
A0A2K3CW95,0.487376694,0.120487805,0.017073171,0.583414634,5.66,0.857,1.13633,1
A0A2K3CWC7,0.473441734,0.126385809,0,0.432372506,4.39,0.279,2.09274,1
A0A2K3CWG7,0.425671846,0.185576077,0.100263852,0.450307828,3.48,0.655,0.478155,1
A0A2K3CWJ0,0.443778935,0.158854167,0.453125,0.572916667,9.02,0.209,2.77456,1
A0A2K3CWJ8,0.42063071,0.135278515,0.212201592,0.655172414,6.59,0.489,1.27974,1
A0A2K3CWM6,0.502838428,0.065502183,0.041484716,0.486899563,5.09,0.252,3.08299,1
A0A2K3CWN0,0.461243931,0.116240725,0.136850783,0.543281121,7.12,0.639,2.27066,1
A0A2K3CWY7,0.475852585,0.089108911,0.043316832,0.628712871,10.49,0.479,2.94723,1
A0A2K3CX47,0.460021037,0.098106713,0.049913941,0.624784854,8.42,0.451,3.62489,1
A0A2K3CX72,0.492805338,0.164490862,0,0.135770235,3.34,0.208,0.737824,1
A0A2K3CXD1,0.45553528,0.123175182,0.057481752,0.436131387,5.83,0.621,2.26196,1
A0A2K3CXE3,0.375,0.145833333,1,0.125,3.66,0.097,1.36241,1
A0A2K3CXG4,0.486861862,0.195945946,0,0,-0.03,-0.237,-0.495095,1
A0A2K3CXU3,0.493449931,0.134259259,0,0.427469136,9.18,0.175,2.1514,1
A0A2K3CXW1,0.469345477,0.185105813,0.161264399,0.613447629,9.66,0.444,2.58487,1
A0A2K3CXW3,0.374508857,0.142028986,0.48115942,0.607246377,4.67,0.867,1.14071,1
A0A2K3CYH8,0.437016687,0.144688645,0.064102564,0.445054945,9.48,0.517,3.51809,1
A0A2K3CYK9,0.415345912,0.200943396,0.530188679,0.614150943,11.33,0.763,2.57623,1
A0A2K3CYR7,0.427292341,0.235090153,0.183772538,0.545076283,2.51,0.437,0.888192,1
A0A2K3CZ02,0.441269841,0.203125,0.091517857,0.138392857,3.21,-0.02,0.720835,1
A0A2K3CZ32,0.434397799,0.138858988,0.049515608,0.516684607,4.49,0.487,2.38957,1
A0A2K3CZB9,0.470039683,0.209821429,0,0.102678571,0.73,-0.139,-0.115982,1
A0A2K3CZG9,0.481798037,0.229344729,0.015669516,0.196581197,7.39,0.144,1.57092,1
A0A2K3CZL0,0.444187044,0.32046332,0.108108108,0.115830116,0.11,-0.545,0.269404,1
A0A2K3CZQ1,0.424623911,0.090261283,0.081947743,0.451306413,7.93,0.353,2.78819,1
A0A2K3CZW9,0.47220805,0.200255102,0.067602041,0.516581633,6.16,-0.006,2.20887,1
A0A2K3CZX0,0.465861366,0.133027523,0,0.500917431,5.19,0.535,0.914851,1
A0A2K3CZX8,0.471666127,0.177356657,0.274052478,0.454810496,3.62,0.284,0.19382,1
A0A2K3D072,0.457449909,0.263934426,0.032786885,0.068852459,1.56,-0.154,1.05086,1
A0A2K3D0H4,0.485757239,0.136344713,0.04704413,0.482930891,4.98,0.158,1.37739,1
A0A2K3D117,0.494448708,0.171910975,0.071373753,0.488871834,4.54,0.557,0.687429,1
A0A2K3D123,0.440566606,0.128390597,0.095840868,0.517179024,4.38,0.594,0.123022,1
A0A2K3D159,0.383351709,0.381477398,0.342888644,0.288864388,6.28,-0.19,1.8331,1
A0A2K3D1A0,0.492105263,0.191729323,0.015037594,0.466165414,1.8,0.063,1.08551,1
A0A2K3D1B5,0.419177195,0.134110787,0.373177843,0.743440233,5.58,0.152,0.119821,1
