UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A0N7KCM4,0.489411206,0.181623932,0,0.025641026,1.16,-0.079,0.811301,1
A0A0N7KH91,0.356533333,0.264,1,0.404,1.15,0.3,-0.423677,1
A0A0N7KKC7,0.440839506,0.164444444,0.29037037,0.394074074,6.97,0.17,1.00499,1
A0A0N7KLG1,0.441132739,0.154501217,0,0.188564477,2.49,0.268,1.00238,1
A0A0N7KLN2,0.428092719,0.283446712,0.160997732,0,-0.1,-0.136,0.400905,1
A0A0N7KNJ2,0.420362992,0.175298805,0.163346614,0.211155378,0.74,0.272,0.686057,1
A0A0N7KNQ0,0.420485476,0.185557587,0.413162706,0.201096892,3.33,0.409,1.18742,1
A0A0N7KP29,0.422605364,0.212643678,0,0.192528736,3.37,0.12,0.771736,1
A0A0N7KUB2,0.401078749,0.187702265,0.207119741,0.074433657,1.76,0.175,0.650364,1
A0A0P0UYN0,0.39849537,0.213541667,0.447916667,0.3125,3.2,0.01,3.74482,1
A0A0P0V145,0.436482335,0.202764977,0.099078341,0,2.01,0.059,0.316189,1
A0A0P0V197,0.45966811,0.246753247,0,0.100649351,0.87,-0.223,2.11598,1
A0A0P0V3J7,0.315346181,0.524625268,0.436830835,0.321199143,1.46,-0.555,0.977743,1
A0A0P0V8S3,0.398508576,0.261744966,0.791946309,0.489932886,10.11,0.148,3.32637,1
A0A0P0VBK7,0.426076575,0.257866462,0.013814275,0.07828089,2.16,0.082,1.06599,1
A0A0P0VDQ1,0.415582249,0.309309309,0.144144144,0.156156156,0.44,-0.198,0.784086,1
A0A0P0VDV3,0.421541394,0.299019608,0.176470588,0.272058824,6.4,0.21,1.25208,1
A0A0P0VDW6,0.415824916,0.16969697,1,0.178787879,3.95,0.075,1.02237,1
A0A0P0VDY2,0.40150289,0.213872832,0.071676301,0.139884393,3.34,0.414,0.956736,1
A0A0P0VED0,0.438566828,0.300724638,0.246376812,0.242753623,1.63,-0.422,0.318542,1
A0A0P0VEN2,0.425238095,0.148809524,0.096428571,0.138095238,4.02,0.242,1.52982,1
A0A0P0VFD5,0.477561254,0.246153846,0.049230769,0.153846154,0.42,-0.243,0.173613,1
A0A0P0VFT9,0.473310023,0.250582751,0,0,0.84,-0.233,0.707113,1
A0A0P0VHP9,0.404040404,0.265412748,0,0.142110763,4.31,0.051,1.72707,1
A0A0P0VHV7,0.431066667,0.268,0,0.192,2.2,-0.188,-0.315274,1
A0A0P0VIZ4,0.433445567,0.241161616,0.064393939,0.255050505,4.35,0.196,0.263638,1
A0A0P0VNC1,0.342886335,0.462068966,1,0.216091954,2.64,-0.353,0.704189,1
A0A0P0VPQ7,0.440236928,0.308823529,0.136029412,0.113970588,0.93,-0.38,0.656081,1
A0A0P0VQR0,0.452583979,0.168604651,0.001453488,0.075581395,1.57,0.161,0.152132,1
A0A0P0VRC8,0.484478006,0.243797195,0.086299892,0.042071197,1.82,-0.211,0.259718,1
A0A0P0VRF7,0.511347518,0.216312057,0,0.407801418,0.65,-0.323,-1.01741,1
A0A0P0VRI0,0.439766082,0.271929825,0.49122807,0.140350877,,-0.434,1.08513,1
A0A0P0VRQ0,0.45704396,0.264797508,0,0.130841121,-0.36,-0.297,0.0319195,1
A0A0P0VSV2,0.415804914,0.353135314,0.396039604,0.270627063,1.95,-0.536,0.0474709,1
A0A0P0VTG7,0.435283831,0.226392252,0.360774818,0.032687651,1.56,-0.015,1.21667,1
A0A0P0VTX8,0.411281179,0.220663265,0,0,2.61,0.065,1.26639,1
A0A0P0VUJ4,0.447478552,0.173258004,0,0.517890772,3.07,0.18,0.489901,1
A0A0P0VW12,0.444489734,0.17798913,0.014945652,0.061141304,2.09,0.136,1.61602,1
A0A0P0VYD4,0.477192982,0.236842105,0,0,0.31,-0.291,0.707571,1
A0A0P0VYY6,0.461584596,0.198863636,0.102272727,0.125,3.44,0.082,0.845409,1
A0A0P0W038,0.435972222,0.2625,0.4375,0,,-0.413,0.615537,1
A0A0P0W1G0,0.448359616,0.182707993,0,0.296900489,3.71,0.077,1.90344,1
A0A0P0W3U8,0.478478478,0.198198198,0.009009009,0.09009009,,-0.394,-1.24777,1
A0A0P0W524,0.394660533,0.188205772,0.140526976,0.086574655,3.57,0.061,1.6694,1
A0A0P0W5Q6,0.343236715,0.270186335,0.639751553,0.173913043,3.54,0.139,1.46887,1
A0A0P0W7J8,0.43223545,0.266666667,0.035714286,0.076190476,1.11,0.017,0.794867,1
A0A0P0W844,0.477348777,0.22007722,0,0.073359073,1.18,-0.184,0.599152,1
A0A0P0W9C3,0.551416853,0.157718121,0,0.090604027,0.86,-0.397,-0.872575,1
A0A0P0W9R6,0.423760684,0.292307692,0.18974359,0.271794872,0.13,-0.357,0.374376,1
A0A0P0W9R9,0.494630872,0.100671141,0.087248322,0.520134228,4.23,0.052,1.68113,1
A0A0P0WA00,0.478999106,0.225201072,0,0.27613941,2.07,0.033,-0.51148,1
A0A0P0WDD7,0.549250936,0.146067416,0,0.404494382,-1.83,-0.212,-1.50147,1
A0A0P0WFW3,0.458619113,0.283950617,0,0.061728395,-0.45,-0.524,-0.0159434,1
A0A0P0WH74,0.423481117,0.221674877,0.044334975,0,-0.93,-0.26,0.0531719,1
A0A0P0WI29,0.390809328,0.345679012,0.241769547,0.112139918,3.05,-0.19,0.847288,1
A0A0P0WK98,0.496407686,0.161654135,0,0.255639098,0.75,-0.04,0.767489,1
A0A0P0WL76,0.463589744,0.276923077,1,0,,-0.44,-1.08051,1
A0A0P0WMY2,0.473784722,0.197916667,0,0.385416667,0.48,-0.247,0.522,1
A0A0P0WPC2,0.464114114,0.189189189,1,0,,-0.325,-0.516674,1
A0A0P0WPT1,0.368131739,0.252109705,0.597046414,0.280590717,4.97,0.207,1.23494,1
A0A0P0WQT3,0.391741351,0.297484822,0.267996531,0.069384215,2.54,0.113,1.62443,1
A0A0P0WRT9,0.457455664,0.231813246,0,0.084147666,4.02,0.102,0.837291,1
A0A0P0WRX8,0.384150327,0.328431373,0,0.102941176,-0.53,-0.343,0.935581,1
A0A0P0WUJ7,0.509281843,0.219512195,0.06097561,0.335365854,-1.51,-0.316,-0.479593,1
A0A0P0WVJ8,0.501598721,0.26618705,0.705035971,0.294964029,,-0.45,0.421765,1
A0A0P0WXA2,0.402300939,0.24386921,0.392370572,0.077656676,2.63,0.048,0.973871,1
A0A0P0WXQ4,0.455769642,0.260115607,0.204238921,0.283236994,2.15,-0.183,1.70856,1
A0A0P0WY24,0.479427549,0.243291592,0,0.091234347,-0.23,-0.257,0.465936,1
A0A0P0WYM2,0.422321429,0.25,0.071428571,0,,-0.368,0.837764,1
A0A0P0WZF6,0.359065854,0.368146214,1,0.590078329,7.85,-0.04,3.26657,1
A0A0P0WZH3,0.414990138,0.313609467,0.420118343,0,0.82,-0.341,-0.311599,1
A0A0P0X0F2,0.436841139,0.178512397,0.282644628,0.152066116,3.89,0.14,0.845687,1
A0A0P0X0W6,0.418585859,0.315151515,0.218181818,0.181818182,-0.18,-0.374,-0.0310537,1
A0A0P0X1C3,0.452573529,0.1875,0.242647059,0.220588235,2.89,-0.01,-0.0419985,1
A0A0P0X2K2,0.430702862,0.274621212,0.058712121,0.178030303,1.52,-0.081,0.493004,1
A0A0P0X3D9,0.473440107,0.138138138,0,0.051051051,1.8,-0.049,0.568245,1
A0A0P0X5L8,0.408422939,0.387096774,0.887096774,0.120967742,,-0.589,0.353614,1
A0A0P0X6B9,0.373022405,0.302469136,0.290123457,0.100823045,3.32,-0.061,1.21613,1
A0A0P0X6L8,0.45265215,0.271356784,0,0.075376884,0.02,-0.411,0.504978,1
A0A0P0X7J0,0.421575342,0.198630137,0.092465753,0.482876712,11.98,0.318,4.38599,1
A0A0P0X7K6,0.428100026,0.218097448,0.218097448,0.143851508,2.33,0.02,0.826803,1
A0A0P0XAR8,0.428176796,0.23572744,0.228360958,0.121546961,2.27,-0.095,0.978837,1
A0A0P0XB22,0.463782051,0.25,0,0,,-0.507,-0.456805,1
A0A0P0XBI1,0.451673568,0.189440994,0.091614907,0.25931677,3.65,0.103,0.554997,1
