UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A024AGV9,0.491566636,0.213296399,0,0.033240997,-0.15,-0.334,-0.0672694,0
A0A067XNN2,0.465472911,0.258953168,0,0.046831956,0.27,-0.397,0.352356,0
A0A068JG19,0.474296094,0.221616712,0.021798365,0.012715713,2.13,-0.115,0.852385,0
A0A096W0X2,0.489551809,0.210116732,0,0,1.07,-0.275,0.507069,0
A0A0C4K0P8,0.450398874,0.241670577,0.082590333,0.044110746,4.84,-0.133,1.48115,0
A0A0D6CBM7,0.434335512,0.288235294,0,0.074509804,-0.04,-0.272,0.252187,0
A0A0I9QPW9,0.434863946,0.265306122,0.107142857,0,0.36,-0.224,0.010422,0
A0A0S1VWZ1,0.44738676,0.235191638,0.054878049,0.095818815,3.16,0.149,1.3557,0
A0A140DDD6,0.445610077,0.191201354,0,0.093062606,5.62,0.267,1.61999,0
A0A1B1IJJ7,0.486181354,0.206896552,0,0.073563218,0.67,-0.311,-0.158536,0
A0A1B1IJJ8,0.470015525,0.233532934,0.071856287,0.057884232,-0.39,-0.433,0.369672,0
A0A1L7NZY2,0.468646232,0.240558292,0,0.009852217,1.46,-0.137,0.589302,0
A0A2K1I9M2,0.479615048,0.236220472,0,0,,-0.446,-0.0297142,0
A0A2K1I9P2,0.429344729,0.256410256,1,0,,-0.49,-1.75276,0
A0A2K1I9Q9,0.485375817,0.164215686,0,0,1.84,-0.072,0.928508,0
A0A2K1I9U1,0.496551724,0.206896552,1,0,,,-0.903482,0
A0A2K1I9U6,0.377661431,0.408376963,1,0.303664921,0.77,-0.544,2.73598,0
A0A2K1I9W1,0.499249249,0.175675676,0.445945946,0,,-0.495,-2.64953,0
A0A2K1I9X4,0.47587519,0.205479452,0,0,0.87,-0.346,-0.896719,0
A0A2K1IA13,0.515451389,0.171875,0.515625,0,,-0.463,-1.44958,0
A0A2K1IA24,0.439166667,0.3125,1,0.225,,-0.568,-1.14902,0
A0A2K1IA25,0.463834423,0.200980392,0,0.088235294,1.62,-0.279,0.177436,0
A0A2K1IA26,0.421640827,0.156976744,0.215116279,0,4.05,-0.026,1.45208,0
A0A2K1IA31,0.483687943,0.191489362,1,0,,-0.39,-0.603285,0
A0A2K1IA33,0.547875817,0.176470588,0.941176471,0.279411765,,-0.554,-2.07874,0
A0A2K1IA34,0.468204462,0.179337232,0.046783626,0.265107212,3.62,0.035,-0.435847,0
A0A2K1IA36,0.446082621,0.230769231,0,0.102564103,-0.54,-0.272,1.28362,0
A0A2K1IA37,0.432148499,0.236966825,0,0,0.33,-0.189,0.567461,0
A0A2K1IA38,0.394341291,0.312997347,0.262599469,0.082228117,1.12,-0.163,0.688769,0
A0A2K1IA39,0.484615385,0.182692308,0.403846154,0,,-0.184,-1.27064,0
A0A2K1IA40,0.501207729,0.163043478,0.173913043,0,,-0.529,-2.11982,0
A0A2K1IA42,0.497374429,0.193493151,0.044520548,0.040525114,2.85,-0.11,0.885578,0
A0A2K1IA46,0.681081081,0.108108108,0,0.324324324,,-0.671,-3.16629,0
A0A2K1IA51,0.511522634,0.203703704,1,0,,,-1.6718,0
A0A2K1IA54,0.47027027,0.144144144,0.162162162,0,,-0.212,-0.836506,0
A0A2K1IA56,0.364393294,0.265984655,0.68797954,0,3.9,0.011,1.94856,0
A0A2K1IA67,0.499557087,0.187007874,0,0.035433071,2.01,-0.068,1.12414,0
