UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A0A060CVM9,0.453738977,0.187301587,0.004761905,0.374603175,6,0.166,0.277098,0
A0A060CWZ9,0.461735331,0.20505618,0,0.401685393,2.07,-0.176,-0.127319,0
A0A060CXE4,0.48568917,0.237341772,0.098101266,0.332278481,1.34,-0.256,-0.469743,0
A0A060CXW2,0.461175337,0.260115607,0,0.12716763,0.37,-0.162,0.191484,0
A0A060CY61,0.487158909,0.182985554,0,0.295345104,0.51,0.09,-0.0817427,0
A0A060CY74,0.460687193,0.13253012,0.224899598,0.497991968,2.69,0.081,1.12342,0
A0A060CYZ5,0.427880486,0.329411765,0.337815126,0.336134454,1.35,-0.388,1.09941,0
A0A060CZ22,0.47966538,0.243243243,0.061776062,0.166023166,0.1,-0.267,-0.65386,0
A0A060CZ29,0.45395189,0.24742268,0.06185567,0.281786942,0.96,-0.095,-0.653664,0
A0A060CZ32,0.33583118,0.263565891,1,0.426356589,,0.303,0.989782,0
A0A060CZ40,0.471504838,0.168168168,0,0.216216216,1.68,0.071,0.0468501,0
A0A060CZ89,0.432399466,0.190394511,0.12864494,0.068610635,3.17,0.092,0.975538,0
A0A060CZB9,0.416431925,0.251173709,0.082159624,0.460093897,4,-0.084,0.504145,0
A0A060CZR1,0.483077226,0.193262411,0,0.166666667,1.24,-0.089,0.778875,0
A0A060D0N9,0.478319783,0.229965157,0,0.18815331,1.85,-0.182,0.820416,0
A0A060D100,0.457056091,0.21221865,0,0.270096463,2.2,0.026,-0.0693114,0
A0A060D116,0.456477438,0.183406114,0,0.371179039,0.75,-0.049,0.961407,0
A0A060D144,0.486593205,0.17768595,0.078512397,0.243801653,0.96,-0.272,-0.60781,0
A0A060D186,0.445524691,0.239583333,0,0.381944444,1.67,-0.251,0.287553,0
A0A060D1M6,0.47540404,0.168181818,0,0.445454545,0.04,-0.201,-0.237387,0
A0A060D1N6,0.473318216,0.207482993,0.105442177,0.363945578,1.09,-0.196,-0.522098,0
A0A060D1R6,0.460358056,0.189258312,0.046035806,0.291560102,2.8,0.194,0.611943,0
A0A060D1T9,0.476806084,0.27756654,0.148288973,0.406844106,1.98,-0.236,0.922121,0
A0A060D1X2,0.473450586,0.195979899,0.16080402,0.434673367,3,-0.203,0.236015,0
A0A060D1Y7,0.439696525,0.220264317,0.246696035,0.22907489,0.51,-0.249,0.212475,0
A0A060D1Z1,0.41989721,0.306167401,0.083700441,0.233480176,2.06,-0.276,0.616598,0
A0A060D1Z5,0.446632997,0.232323232,0.656565657,0.186868687,-0.18,-0.196,-0.555716,0
A0A060D219,0.431450094,0.274576271,0.061016949,0.088135593,0.43,-0.301,0.0488594,0
A0A060D249,0.466888889,0.136666667,0,0.4,3.03,-0.013,-0.241749,0
A0A060D2G6,0.463559768,0.232227488,0,0.473933649,2.48,-0.181,-0.415346,0
A0A060D2L0,0.486300505,0.232954545,0,0.4375,2.38,-0.269,-0.868475,0
A0A060D2W0,0.390696118,0.319277108,0.891566265,0.319277108,1.07,-0.406,0.0154697,0
A0A060D3D9,0.512855831,0.219008264,0.088842975,0.227272727,0.71,-0.4,0.231016,0
A0A060D3F9,0.466101131,0.182634731,0,0.185628743,2.47,-0.126,0.714448,0
A0A060D3G4,0.428931102,0.256445047,0,0.036635007,1.5,-0.161,0.592928,0
A0A060D3Z8,0.455976676,0.192419825,0.241982507,0.2303207,0.91,0.1,0.899708,0
A0A060D417,0.464533965,0.206161137,0,0.407582938,3.17,-0.038,0.556174,0
A0A060D485,0.461561562,0.195195195,0,0.264264264,1.9,-0.121,-0.100022,0
A0A060D4H1,0.48308642,0.111111111,0.105555556,0.375,3.05,-0.039,0.298286,0
A0A060D4J5,0.484843155,0.124010554,0,0.26121372,2.68,-0.005,0.0887506,0
A0A060D557,0.438533114,0.325123153,0.320197044,0.467980296,-1.48,-0.341,0.172568,0
A0A060D570,0.498373984,0.197154472,0,0.089430894,1.11,-0.257,0.429835,0
A0A060D587,0.446059659,0.243845252,0.069167644,0.026963658,1.23,-0.205,0.696724,0
A0A060D609,0.43275506,0.234200743,0.237918216,0.312267658,1.11,-0.228,0.326301,0
A0A060D6C7,0.427743271,0.198757764,0.220496894,0.366459627,0.98,-0.112,-0.071484,0
A0A060D6J4,0.41032622,0.293598234,0.141280353,0.17218543,2.79,-0.225,0.737791,0
