UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
A5HB99,0.473260798,0.210682493,0,0.053412463,-0.21,-0.246,-0.435079,1
H9B4D1,0.432010101,0.148181818,0,0.224545455,3.92,0.639,0.828486,1
K7PQ64,0.446047877,0.241869919,0,0,0.6,-0.202,0.546715,1
M4C731,0.385474006,0.403669725,0.518348624,0.059633028,0.73,-0.457,0.797857,1
M4C7D4,0.511965812,0.166666667,0,0.068376068,0.91,-0.336,-0.93942,1
M4C7G6,0.465684211,0.225263158,0,0,0.99,-0.05,1.26874,1
M4C7H9,0.499014031,0.19112628,0,0.064846416,-0.25,-0.249,-0.164008,1
M4C7I5,0.397685185,0.310606061,1,0.106060606,8.31,-0.214,0.471376,1
M4C7P9,0.447401434,0.233870968,0.072580645,0,,-0.368,-0.42005,1
M4C7V1,0.436848793,0.219822109,0.082592122,0.030495553,3.28,0.034,1.2824,1
M4C7W5,0.404781997,0.182489451,0.394514768,0.284810127,8.5,0.667,2.11343,1
M4C807,0.452543507,0.246987952,0.093373494,0.120481928,0.35,-0.31,0.0119412,1
M4C8C9,0.469989853,0.230593607,0.093607306,0.02283105,0.71,-0.225,0.819093,1
M4C8F3,0.441747573,0.310679612,0.737864078,0.184466019,,-0.506,1.62994,1
M4C8F5,0.431899642,0.335483871,0.458064516,0.316129032,-0.67,-0.471,0.120147,1
M4C8H3,0.493762183,0.298245614,0.929824561,0.315789474,,-0.541,0.670751,1
M4C8H5,0.44026174,0.27482679,0.018475751,0.020785219,0.23,-0.362,0.783547,1
M4C8I2,0.459940209,0.228699552,0,0,1.73,-0.182,0.0146529,1
M4C8N3,0.457296678,0.216494845,0,0.090721649,2.09,-0.153,0.790326,1
M4C8N9,0.463666198,0.223628692,0,0.185654008,1.19,-0.147,0.21785,1
M4C8V8,0.351992499,0.341772152,0.232067511,0.075949367,2.08,-0.103,0.508997,1
M4C8Y2,0.480502477,0.149681529,0,0.130573248,2.51,0.072,0.839186,1
M4C933,0.427831197,0.370192308,0.605769231,0.413461538,-0.6,-0.315,0.290771,1
M4C943,0.448364649,0.281837161,0,0.27348643,5.16,-0.26,0.587766,1
M4C9K0,0.427354497,0.328571429,0.204761905,0.404761905,4.05,0.064,2.46471,1
M4C9Q0,0.515437561,0.230088496,0.831858407,0.256637168,,-0.299,0.402898,1
M4C9T6,0.450097466,0.214424951,0.091617934,0.183235867,1,0.528,0.776229,1
M4C9U5,0.542091049,0.138888889,0.111111111,0,-0.85,-0.235,0.306159,1
M4C9W0,0.421206994,0.329949239,0.197969543,0.030456853,-0.6,-0.375,0.612253,1
M4C9W8,0.444395924,0.187772926,0.150655022,0.128820961,4.43,0.193,0.232731,1
M4C9X5,0.439412998,0.227987421,0.185534591,0.18081761,9.03,0.131,1.56773,1
M4C9Z9,0.446697747,0.265734266,0,0,0.63,-0.252,0.871644,1
M4CA03,0.460677406,0.204460967,0.068773234,0.105947955,1.29,-0.038,0.365114,1
M4CA07,0.493092369,0.262650602,0,0.021686747,-0.69,-0.38,-0.674246,1
M4CA23,0.438336242,0.32460733,0,0,0.1,-0.407,0.160431,1
M4CA82,0.453133903,0.166666667,0,0.133333333,3.52,0.201,0.560829,1
